type,pH,Eh
normal,8.9,0.216
normal,9,0.266
normal,8.3,0.277
normal,8.11,0.299
normal,7.98,0.328
normal,7.66,0.291
normal,7.61,0.32
normal,7.68,0.322
normal,7.65,0.337
normal,7.82,0.348
normal,7.64,0.359
normal,7.49,0.359
normal,7.41,0.358
normal,7.29,0.343
normal,7.3,0.333
normal,7.33,0.325
normal,7.36,0.321
normal,7.11,0.311
normal,7.1,0.32
normal,7.46,0.39
normal,7.46,0.397
normal,7.58,0.4
normal,7.39,0.419
normal,7.97,0.38
normal,8.15,0.399
normal,7.98,0.41
normal,7.99,0.426
normal,7.7,0.445
normal,7.67,0.453
normal,7.75,0.471
normal,7.58,0.497
normal,7.7,0.512
normal,7.6,0.583
normal,7.18,0.495
normal,7.33,0.435
normal,7.13,0.453
normal,6.91,0.441
normal,6.97,0.425
normal,6.8,0.427
normal,7.09,0.412
normal,7.08,0.401
normal,7.15,0.392
normal,6.98,0.399
normal,6.96,0.389
normal,6.83,0.389
normal,6.79,0.395
normal,6.79,0.404
normal,6.8,0.41
normal,6.71,0.408
normal,7.11,0.38
normal,7.19,0.371
normal,7.11,0.367
normal,7.23,0.359
normal,6.9,0.363
normal,6.82,0.366
normal,6.57,0.386
normal,6.44,0.37
normal,6.51,0.359
normal,6.63,0.35
normal,6.28,0.362
normal,6.21,0.366
normal,5.97,0.373
normal,6.19,0.408
normal,6.04,0.401
normal,5.92,0.403
normal,5.99,0.408
normal,6.03,0.412
normal,5.96,0.415
normal,5.98,0.425
normal,6.18,0.431
normal,6.15,0.437
normal,6.3,0.444
normal,6.28,0.45
normal,6.57,0.452
normal,6.69,0.44
normal,6.59,0.422
normal,6.57,0.416
normal,6.7,0.48
normal,6.61,0.484
normal,6.61,0.478
normal,6.87,0.508
normal,6.67,0.535
normal,6.7,0.564
normal,6.49,0.57
normal,6.49,0.587
normal,6.52,0.6
normal,6.18,0.614
normal,6.19,0.588
normal,6.1,0.579
normal,5.97,0.595
normal,6.29,0.519
normal,6.38,0.463
normal,6.19,0.472
normal,6.23,0.48
normal,6.21,0.491
normal,6.14,0.491
normal,6.09,0.493
normal,6.01,0.501
normal,6.01,0.49
normal,6.01,0.48
normal,6.04,0.475
normal,6.06,0.471
normal,6.05,0.464
normal,5.98,0.435
normal,5.85,0.438
normal,5.85,0.45
normal,5.82,0.46
normal,5.74,0.44
normal,5.75,0.405
normal,5.67,0.39
normal,5.4,0.386
normal,5.39,0.415
normal,5.23,0.44
normal,5.48,0.441
normal,5.49,0.446
normal,5.51,0.452
normal,5.45,0.46
normal,5.53,0.465
normal,5.6,0.478
normal,5.75,0.497
normal,5.77,0.517
normal,5.99,0.551
normal,5.91,0.562
normal,5.62,0.559
normal,5.69,0.603
normal,5.79,0.622
normal,5.39,0.534
normal,5.42,0.501
normal,5.41,0.494
normal,5.41,0.486
normal,5.41,0.479
normal,5.33,0.48
normal,5.27,0.49
normal,5.28,0.494
normal,5.28,0.499
normal,5.24,0.505
normal,5.22,0.44
normal,5.3,0.452
normal,5.19,0.459
normal,5.15,0.464
normal,5.1,0.471
normal,5.16,0.475
normal,4.98,0.412
normal,4.69,0.414
normal,4.66,0.405
normal,4.51,0.437
normal,5.08,0.514
normal,5.12,0.521
normal,5.1,0.559
normal,5.2,0.564
normal,5.22,0.58
normal,5.08,0.634
normal,4.88,0.637
normal,4.8,0.655
normal,5.08,0.69
normal,5.41,0.693
normal,4.82,0.734
normal,4.49,0.678
normal,4.37,0.649
normal,4.24,0.621
normal,3.72,0.619
