"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","nO2_biosynth.down","nO2_biosynth.up","nO2_biosynth.diff","nH2O_biosynth.down","nH2O_biosynth.up","nH2O_biosynth.diff","nAA.down","nAA.up","nAA.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff"
GEPIA2_ACC,"ACC",,2013,391,-0.12,-0.1292,-0.0091,-7e-04,0.0173,0.018,-1.6212,-1.6516,-0.0303,0.2557,0.2908,0.0351,516,309,-207,5.2055,4.7899,-0.4156,5.2311,5.1364,-0.0947
GEPIA2_BLCA,"BLCA",,1722,735,-0.1108,-0.1286,-0.0178,0.0036,0.0225,0.0189,-1.5962,-1.6566,-0.0604,0.2506,0.2878,0.0372,510,396,-114,5.4099,4.5335,-0.8764,5.4918,4.9031,-0.5887
GEPIA2_BRCA,"BRCA",,1749,1256,-0.1175,-0.1322,-0.0147,0.0033,0.0096,0.0063,-1.6083,-1.6781,-0.0698,0.2505,0.3069,0.0564,473,384,-89,5.6449,4.8072,-0.8377,5.4926,5.0893,-0.4033
GEPIA2_CESC,"CESC",,2972,1627,-0.1098,-0.1313,-0.0215,0.0033,0.0162,0.0129,-1.5907,-1.6627,-0.072,0.2371,0.2945,0.0574,531,372,-159,5.2424,4.9136,-0.3288,5.4122,5.0404,-0.3718
GEPIA2_COAD,"COAD",,2165,2327,-0.1118,-0.1333,-0.0215,0.0025,0.0078,0.0053,-1.5938,-1.6656,-0.0719,0.2423,0.2974,0.0551,491,383,-108,5.4189,4.5391,-0.8798,5.4258,4.8701,-0.5557
GEPIA2_DLBC,"DLBC",,771,7887,-0.1322,-0.1269,0.0053,-0.0045,0.0123,0.0168,-1.6421,-1.6623,-0.0202,0.2749,0.2882,0.0133,418,412,-6,6.3533,3.8938,-2.4595,5.5253,4.6689,-0.8565
GEPIA2_ESCA,"ESCA",,1088,2401,-0.1245,-0.1258,-0.0013,-4e-04,0.0067,0.0071,-1.6162,-1.6448,-0.0286,0.2573,0.2855,0.0282,400,500,100,5.8873,4.7397,-1.1476,5.3956,5.0895,-0.3061
GEPIA2_GBM,"GBM",,1883,4642,-0.1191,-0.1313,-0.0122,0.0091,0.0013,-0.0078,-1.6141,-1.6659,-0.0517,0.2598,0.2941,0.0343,499,392,-107,5.3991,4.4247,-0.9744,5.3872,4.8872,-0.5
GEPIA2_HNSC,"HNSC",,557,1385,-0.1279,-0.1247,0.0033,0.0079,0.001,-0.0069,-1.6512,-1.6336,0.0176,0.2887,0.2638,-0.0249,415,459,44,6.1344,5.2575,-0.877,5.4963,5.286,-0.2103
GEPIA2_KICH,"KICH",,3002,615,-0.1231,-0.131,-0.0079,0.0024,4e-04,-0.002,-1.6279,-1.6508,-0.0229,0.2632,0.2816,0.0184,443,434,-9,5.0638,5.1463,0.0825,5.1189,5.2126,0.0938
