Name,Run,BioSample,Sample,Group,pH,"EC (mS cm-1)","Eh (mV)","DO (mg L-1)","T (°C)"
"Taxco AMD",SRR17814865,SAMN25336287,AMD.1.R1,AMD,2.2,12,611,2.3,24.5
"Taxco AMD",SRR17814864,SAMN25336287,AMD.1.R2,AMD,2.2,12,611,2.3,24.5
"Taxco AMD",SRR17814853,SAMN25336287,AMD.1.R3,AMD,2.2,12,611,2.3,24.5
"Taxco AMD",SRR17814845,SAMN25336287,AMD.2.R1,AMD,2.3,8.4,549,2.3,24.4
"Taxco AMD",SRR17814844,SAMN25336287,AMD.2.R2,AMD,2.3,8.4,549,2.3,24.4
"Taxco AMD",SRR17814843,SAMN25336287,AMD.2.R3,AMD,2.3,8.4,549,2.3,24.4
"Taxco AMD",SRR17814842,SAMN25336287,AMD.3.R1,AMD,2.6,3.6,776,2.3,21.6
"Taxco AMD",SRR17814841,SAMN25336287,AMD.3.R2,AMD,2.6,3.6,776,2.3,21.6
"Taxco AMD",SRR17814840,SAMN25336287,AMD.3.R3,AMD,2.6,3.6,776,2.3,21.6
"Taxco AMD",SRR17814839,SAMN25336288,AT.1.R1,"Abiotic Treatment",2.6,3.6,800,2.6,21.6
"Taxco AMD",SRR17814863,SAMN25336288,AT.1.R2,"Abiotic Treatment",2.6,3.6,800,2.6,21.6
"Taxco AMD",SRR17814862,SAMN25336288,AT.2.R1,"Abiotic Treatment",3.9,3.4,725,2.7,23.2
"Taxco AMD",SRR17814861,SAMN25336288,AT.2.R2,"Abiotic Treatment",3.9,3.4,725,2.7,23.2
"Taxco AMD",SRR17814860,SAMN25336288,AT.3.R1,"Abiotic Treatment",4,3.5,706,3,22.7
"Taxco AMD",SRR17814859,SAMN25336288,AT.3.R2,"Abiotic Treatment",4,3.5,706,3,22.7
"Taxco AMD",SRR17814858,SAMN25336288,AT.4.R1,"Abiotic Treatment",4.6,3.5,664,3,23.2
"Taxco AMD",SRR17814857,SAMN25336288,AT.5.R1,"Abiotic Treatment",4.8,3.5,593,2.8,23
"Taxco AMD",SRR17814856,SAMN25336288,AT.6.R1,"Abiotic Treatment",5.2,3.5,558,2.8,21.8
"Taxco AMD",SRR17814855,SAMN25336288,AT.6.R2,"Abiotic Treatment",5.2,3.5,558,2.8,21.8
"Taxco AMD",SRR17814854,SAMN25336288,AT.6.R3,"Abiotic Treatment",5.2,3.5,558,2.8,21.8
"Taxco AMD",SRR17814852,SAMN25336288,AT.7.R1,"Abiotic Treatment",5.8,3.6,551,3.5,21.5
"Taxco AMD",SRR17814851,SAMN25336288,AT.7.R2,"Abiotic Treatment",5.8,3.6,551,3.5,21.5
"Taxco AMD",SRR17814850,SAMN25336288,BT.1.R1,"Biotic Treatment",6.8,3.8,402,2.46,21.5
"Taxco AMD",SRR17814849,SAMN25336288,BT.1.R2,"Biotic Treatment",6.8,3.8,402,2.46,21.5
"Taxco AMD",SRR17814848,SAMN25336288,BT.2.R1,"Biotic Treatment",6.8,3.9,444,1.5,21.1
"Taxco AMD",SRR17814847,SAMN25336288,BT.2.R2,"Biotic Treatment",6.8,3.9,444,1.5,21.1
"Taxco AMD",SRR17814846,SAMN25336289,Stream,Stream,6.9,4,365,0.8,21.3
