"set","dataset","description","n1","n2","ZC.mean1","ZC.mean2","ZC.diff","ZC.CLES","ZC.p.value","nH2O.mean1","nH2O.mean2","nH2O.diff","nH2O.CLES","nH2O.p.value"
a,HXS+06,"U937",36,24,-0.1139,-0.1421,-0.02821,30.21,0.009343,-0.7599,-0.7283,0.03165,62.85,0.09564
b,BRA+10,"placental secretome",41,22,-0.09939,-0.126,-0.02664,38.03,0.1218,-0.7601,-0.7495,0.01059,53.88,0.6215
c,DPL+10,"B104",71,19,-0.1225,-0.1437,-0.02124,37.36,0.0928,-0.7434,-0.7421,0.001266,51.3,0.8665
d,BMJ+11,"DU145",87,29,-0.1111,-0.0941,0.01695,61.91,0.05578,-0.748,-0.7503,-0.002284,48.12,0.7644
e,CBW+11,"SK-N-BE(2)c; IMR-32",28,21,-0.1076,-0.09951,0.008054,52.21,0.8024,-0.7146,-0.7128,0.001801,50.17,0.992
f,LAR+12,"H9C2",53,65,-0.1596,-0.1668,-0.007258,51.03,0.8477,-0.7206,-0.7863,-0.06569,35.27,0.006088
g,MHG+12_P5,"MCF-7 breast cancer cells P5",409,337,-0.1079,-0.1352,-0.02731,39.65,1.12e-06,-0.7474,-0.7551,-0.00771,47.25,0.1961
h,MHG+12_P2,"MCF-7 breast cancer cells P2",248,214,-0.1101,-0.1351,-0.02504,41.66,0.001993,-0.748,-0.751,-0.002937,48.11,0.4849
i,MVC+12_perinecrotic,"HT29 colon cancer cells perinecrotic",48,52,-0.1339,-0.1396,-0.005656,47.32,0.6464,-0.7314,-0.7568,-0.02548,43.75,0.2833
j,MVC+12_necrotic,"HT29 colon cancer cells necrotic",101,186,-0.1208,-0.1442,-0.02343,38.12,0.0008942,-0.7171,-0.7456,-0.02851,43.17,0.05594
k,FWH+13,"THP-1 macrophages",56,40,-0.1358,-0.1328,0.002952,52.9,0.6317,-0.735,-0.7239,0.01114,54.24,0.4825
l,RHD+13_Hx48,"A431 epithelial carcinoma cells Hx48",211,92,-0.1365,-0.1247,0.01174,53.45,0.3404,-0.7507,-0.7632,-0.01243,47.4,0.4728
m,RHD+13_Hx72,"A431 epithelial carcinoma cells Hx72",88,67,-0.1287,-0.1489,-0.02015,40.62,0.04597,-0.7357,-0.7734,-0.03776,42.16,0.09553
n,RHD+13_ReOx,"A431 epithelial carcinoma cells ReOx",62,46,-0.1423,-0.1382,0.004106,53.3,0.5613,-0.7709,-0.7628,0.008005,55.58,0.3247
o,VTMF13,"SH-SY5Y neuroblastoma cells",141,64,-0.1279,-0.1489,-0.02099,39.03,0.01194,-0.7583,-0.7338,0.0245,59.31,0.03283
p,DYL+14_Hx48-S,"A431 epithelial carcinoma cells Hx48-S",65,34,-0.1445,-0.1117,0.03285,64.57,0.01783,-0.7038,-0.7356,-0.03185,36.92,0.03351
q,DYL+14_Hx72-S,"A431 epithelial carcinoma cells Hx72-S",137,61,-0.1228,-0.1284,-0.005548,48.71,0.7738,-0.7314,-0.7431,-0.01163,44.86,0.2492
r,DYL+14_ReOx-S,"A431 epithelial carcinoma cells ReOx-S",56,49,-0.148,-0.1109,0.03714,66.58,0.003508,-0.6974,-0.7472,-0.04983,32.54,0.002116
s,DYL+14_Hx48-P,"A431 epithelial carcinoma cells Hx48-P",74,44,-0.1419,-0.1441,-0.002193,51.63,0.7702,-0.7134,-0.7214,-0.007998,46.47,0.524
t,DYL+14_Hx72-P,"A431 epithelial carcinoma cells Hx72-P",67,53,-0.1295,-0.143,-0.0135,45.65,0.4157,-0.7109,-0.726,-0.01517,43.11,0.1972
u,DYL+14_ReOx-P,"A431 epithelial carcinoma cells ReOx-P",41,31,-0.1462,-0.1248,0.02141,63.89,0.04485,-0.7159,-0.7511,-0.0352,37.06,0.06189
v,RKP+14,"colorectal cancer-derived cells",93,174,-0.1301,-0.1108,0.01928,57.65,0.03954,-0.7481,-0.7661,-0.01797,44.59,0.1455
w,WRK+14,"HepG2/C3A hepatocellular carcinoma",125,291,-0.109,-0.1413,-0.03235,39.38,0.0005886,-0.714,-0.7399,-0.02595,43.3,0.03026
x,BSA+15,"HeLa cervical cancer cells",53,72,-0.1503,-0.146,0.004304,52.99,0.5707,-0.7521,-0.7552,-0.003111,49.79,0.9701
y,HWA+16,"U87MG and 786-O cancer cells",137,164,-0.1374,-0.138,-0.0005354,49.31,0.8382,-0.7238,-0.7503,-0.02648,42.29,0.0213
z,LCS16_transcription,"HCT116 colon cancer transcription",129,141,-0.1059,-0.1097,-0.003869,46.9,0.3793,-0.7825,-0.7589,0.0236,57.22,0.04065
A,LCS16_translation,"HCT116 colon cancer translation",469,1024,-0.1203,-0.1484,-0.02814,39.07,1.117e-11,-0.7568,-0.7816,-0.02478,43.17,2.229e-05
B,RSE+16,"adipose-derived stem cells",66,50,-0.1421,-0.1111,0.03101,66.94,0.001848,-0.7588,-0.7703,-0.0115,44.82,0.3418
C,XCJ+16_CoCl2,"cardiomyocytes CoCl2",65,27,-0.1299,-0.1545,-0.02454,40.57,0.1571,-0.7621,-0.7741,-0.01202,46.38,0.5891
D,XCJ+16_SAL,"cardiomyocytes SAL",35,69,-0.1527,-0.1387,0.01396,58.18,0.1754,-0.7534,-0.7573,-0.0039,45.59,0.4659
E,YLW+16,"HT29 colon carcinoma",116,225,-0.1011,-0.1536,-0.0525,29.18,2.955e-10,-0.7429,-0.7604,-0.01744,45.6,0.1832
