"set","dataset","description","n1","n2","ZC.mean1","ZC.mean2","ZC.diff","ZC.CLES","ZC.p.value","nH2O.mean1","nH2O.mean2","nH2O.diff","nH2O.CLES","nH2O.p.value"
a,WTK+08,"T / N",57,70,-0.1248,-0.1071,0.0177,55.46,0.2906,-0.7851,-0.7795,0.00564,51.85,0.7216
b,AKP+10_CRC,"CRC nuclear matrix C / A",101,28,-0.08189,-0.09372,-0.01183,47.38,0.6745,-0.7507,-0.7594,-0.008721,48.37,0.7949
c,AKP+10_CIN,"CIN nuclear matrix C / A",87,81,-0.07668,-0.1077,-0.03102,40.5,0.0337,-0.7545,-0.7481,0.006382,48.11,0.6729
d,AKP+10_MIN,"MIN nuclear matrix C / A",157,76,-0.08017,-0.08208,-0.001914,51.52,0.7083,-0.7574,-0.7709,-0.01346,45.47,0.2634
e,JKMF10,"serum biomarkers up / down",43,56,-0.1192,-0.1264,-0.007191,45.85,0.4824,-0.8026,-0.7469,0.05566,67.19,0.003511
f,XZC+10_I,"stage I / normal",48,166,-0.1464,-0.1392,0.007232,52.03,0.6681,-0.7491,-0.725,0.0241,55.97,0.2082
g,XZC+10_II,"stage II / normal",77,321,-0.152,-0.1303,0.02175,60.21,0.005385,-0.7553,-0.7402,0.01514,52.7,0.4619
h,ZYS+10,"microdissected T / N",60,57,-0.1502,-0.1308,0.01943,58.3,0.1221,-0.7415,-0.7207,0.02083,57.54,0.1603
i,BPV+11_adenoma,"adenoma / normal",71,92,-0.1134,-0.1361,-0.02275,40.39,0.03571,-0.7593,-0.7551,0.004175,49.1,0.8448
j,BPV+11_stage.I,"stage I / normal",109,72,-0.1266,-0.1337,-0.007157,47.04,0.5022,-0.7666,-0.7614,0.005175,50.31,0.9457
k,BPV+11_stage.II,"stage II / normal",164,140,-0.1455,-0.1145,0.03109,61.94,0.0003339,-0.7572,-0.7509,0.006289,51.26,0.7042
l,BPV+11_stage.III,"stage III / normal",63,131,-0.14,-0.1148,0.02514,61.64,0.008756,-0.7617,-0.7665,-0.004746,47.27,0.539
m,BPV+11_stage.IV,"stage IV / normal",42,26,-0.1071,-0.1173,-0.01017,44.14,0.4266,-0.7465,-0.7411,0.00537,51.56,0.8362
n,JCF+11,"T / N",72,45,-0.1561,-0.1238,0.0323,62.59,0.02243,-0.7351,-0.7377,-0.002625,48.73,0.8205
o,MRK+11_AD.NC,"adenoma / normal",334,288,-0.1273,-0.1158,0.01157,53.93,0.09062,-0.7848,-0.7272,0.05759,68.32,3.177e-15
p,MRK+11_AC.AD,"adenocarcinoma / adenoma",373,257,-0.1404,-0.1066,0.03378,65.05,1.325e-10,-0.7548,-0.7634,-0.008624,46.59,0.1456
q,MRK+11_AC.NC,"adenocarcinoma / normal",350,232,-0.1333,-0.09919,0.03413,63.51,3.297e-08,-0.778,-0.7427,0.03523,60.83,9.53e-06
r,KKL+12,"poor / good prognosis",75,61,-0.128,-0.1018,0.02626,63.45,0.007124,-0.7477,-0.7447,0.003,49.57,0.9372
s,KYK+12,"MSS-type T / N",73,175,-0.1346,-0.1108,0.02379,60.6,0.008518,-0.7622,-0.7397,0.02251,56.17,0.1259
t,WOD+12,"LCM FFPE T / adjacent N",79,677,-0.1396,-0.1235,0.01618,54.38,0.2022,-0.7701,-0.7441,0.02599,57.79,0.02328
u,YLZ+12,"CM T / N",55,68,-0.1205,-0.09409,0.02646,62.81,0.01493,-0.8054,-0.8008,0.004606,51.95,0.7123
v,MCZ+13,"stromal T / N",33,37,-0.1473,-0.1003,0.047,73.79,0.0004965,-0.7061,-0.7405,-0.03436,41.61,0.2317
w,KWA+14,"chromatin-binding C / A",51,55,-0.09986,-0.1388,-0.03897,29.09,0.0002111,-0.7274,-0.7375,-0.01014,47.88,0.7091
x,UNS+14,"epithelial adenoma / normal",58,65,-0.1325,-0.1319,0.0005785,48.89,0.8335,-0.7792,-0.7474,0.03186,60.72,0.04092
y,WKP+14,"tissue secretome T / N",44,210,-0.1286,-0.1227,0.005914,52.73,0.5703,-0.7981,-0.7412,0.05687,68.31,0.0001349
z,STK+15,"membrane enriched T / N",113,66,-0.1491,-0.1437,0.005465,52.08,0.6441,-0.7671,-0.7416,0.02542,55.42,0.2271
A,WDO+15_A.N,"LCM FFPE adenoma / normal",1061,1254,-0.1355,-0.1057,0.02983,64.38,7.299e-33,-0.764,-0.741,0.02296,57.88,6.161e-11
B,WDO+15_C.A,"LCM FFPE carcinoma / adenoma",772,1007,-0.1188,-0.1314,-0.01262,42.28,2.318e-08,-0.7456,-0.7487,-0.003093,49.53,0.7363
C,WDO+15_C.N,"LCM FFPE T / adjacent N",879,1281,-0.131,-0.1165,0.0145,56.79,7.881e-08,-0.7687,-0.7447,0.02403,58.12,1.384e-10
D,LPL+16_ACP,"stromal AD / NC",123,75,-0.1032,-0.1425,-0.03925,31.85,1.88e-05,-0.7525,-0.7153,0.03726,59.97,0.01879
E,LPL+16_CIS,"stromal CIS / NC",125,60,-0.1209,-0.1279,-0.007001,45.99,0.3781,-0.7343,-0.7354,-0.001131,51.88,0.6803
F,LPL+16_ICC,"stromal ICC / NC",99,75,-0.1221,-0.1212,0.0009326,47.45,0.5657,-0.7249,-0.7455,-0.02051,48.39,0.7176
G,LXM+16,"biopsy T / N",191,178,-0.1231,-0.1177,0.005423,50.01,0.9988,-0.7635,-0.7341,0.02937,57.3,0.01536
H,PHL+16_AD,"AD / N",113,86,-0.1284,-0.1174,0.01102,53.74,0.3677,-0.7581,-0.721,0.03711,59.97,0.01611
I,PHL+16_CIS,"CIS / N",169,138,-0.1358,-0.1166,0.01918,59.41,0.004581,-0.7416,-0.741,0.0005379,48.69,0.6929
J,PHL+16_ICC,"ICC / N",129,100,-0.1383,-0.1225,0.01587,57.41,0.05466,-0.7462,-0.7529,-0.006758,46.09,0.3113
