Name,Run,Sample,BioSample,Group
"IBD Gut",ERR6558693,ERS7273605,SAMEA9550847,case
"IBD Gut",ERR6558694,ERS7273606,SAMEA9550848,case
"IBD Gut",ERR6558695,ERS7273607,SAMEA9550849,case
"IBD Gut",ERR6558696,ERS7273608,SAMEA9550850,case
"IBD Gut",ERR6558697,ERS7273609,SAMEA9550851,case
"IBD Gut",ERR6558698,ERS7273610,SAMEA9550852,case
"IBD Gut",ERR6558699,ERS7273611,SAMEA9550853,case
"IBD Gut",ERR6558700,ERS7273612,SAMEA9550854,case
"IBD Gut",ERR6558701,ERS7273613,SAMEA9550855,case
"IBD Gut",ERR6558702,ERS7273614,SAMEA9550856,case
"IBD Gut",ERR6558703,ERS7273615,SAMEA9550857,case
"IBD Gut",ERR6558704,ERS7273616,SAMEA9550858,case
"IBD Gut",ERR6558705,ERS7273617,SAMEA9550859,case
"IBD Gut",ERR6558706,ERS7273618,SAMEA9550860,case
"IBD Gut",ERR6558707,ERS7273619,SAMEA9550861,case
"IBD Gut",ERR6558708,ERS7273620,SAMEA9550862,case
"IBD Gut",ERR6558709,ERS7273621,SAMEA9550863,case
"IBD Gut",ERR6558710,ERS7273622,SAMEA9550864,case
"IBD Gut",ERR6558711,ERS7273623,SAMEA9550865,case
"IBD Gut",ERR6558712,ERS7273624,SAMEA9550866,case
"IBD Gut",ERR6558713,ERS7273625,SAMEA9550867,case
"IBD Gut",ERR6558714,ERS7273626,SAMEA9550868,case
"IBD Gut",ERR6558715,ERS7273627,SAMEA9550869,case
"IBD Gut",ERR6558716,ERS7273628,SAMEA9550870,case
"IBD Gut",ERR6558717,ERS7273629,SAMEA9550871,case
"IBD Gut",ERR6558718,ERS7273630,SAMEA9550872,case
"IBD Gut",ERR6558719,ERS7273631,SAMEA9550873,case
"IBD Gut",ERR6558720,ERS7273632,SAMEA9550874,case
"IBD Gut",ERR6558721,ERS7273633,SAMEA9550875,case
"IBD Gut",ERR6558722,ERS7273634,SAMEA9550876,case
