Name,Run,BioSample,SampleName,Disease
IBD,ERR4837016,SAMEA5816252,SAMEA5816252,"Ulcerative Colitis"
IBD,ERR4837017,SAMEA5816253,SAMEA5816253,"Ulcerative Colitis"
IBD,ERR4837018,SAMEA5816254,SAMEA5816254,"Ulcerative Colitis"
IBD,ERR4837019,SAMEA5816255,SAMEA5816255,"Ulcerative Colitis"
IBD,ERR4837020,SAMEA5816256,SAMEA5816256,"Ulcerative Colitis"
IBD,ERR4837021,SAMEA5816257,SAMEA5816257,"Ulcerative Colitis"
IBD,ERR4837022,SAMEA5816258,SAMEA5816258,"Ulcerative Colitis"
IBD,ERR4837023,SAMEA5816259,SAMEA5816259,"Ulcerative Colitis"
IBD,ERR4837024,SAMEA5816260,SAMEA5816260,"Ulcerative Colitis"
IBD,ERR4837025,SAMEA5816261,SAMEA5816261,"Ulcerative Colitis"
IBD,ERR4837026,SAMEA5816262,SAMEA5816262,"Ulcerative Colitis"
IBD,ERR4837027,SAMEA5816263,SAMEA5816263,"Crohn's Disease"
IBD,ERR4837028,SAMEA5816264,SAMEA5816264,"Crohn's Disease"
IBD,ERR4837029,SAMEA5816265,SAMEA5816265,"Crohn's Disease"
IBD,ERR4837030,SAMEA5816266,SAMEA5816266,"Crohn's Disease"
IBD,ERR4837031,SAMEA5816267,SAMEA5816267,"Crohn's Disease"
IBD,ERR4837032,SAMEA5816268,SAMEA5816268,"Crohn's Disease"
IBD,ERR4837033,SAMEA5816269,SAMEA5816269,"Crohn's Disease"
IBD,ERR4837034,SAMEA5816270,SAMEA5816270,"Crohn's Disease"
IBD,ERR4837035,SAMEA5816271,SAMEA5816271,"Crohn's Disease"
IBD,ERR4837036,SAMEA5816272,SAMEA5816272,"Crohn's Disease"
IBD,ERR4837037,SAMEA5816273,SAMEA5816273,Control
IBD,ERR4837038,SAMEA5816274,SAMEA5816274,Control
IBD,ERR4837039,SAMEA5816275,SAMEA5816275,Control
IBD,ERR4837040,SAMEA5816276,SAMEA5816276,Control
IBD,ERR4837041,SAMEA5816277,SAMEA5816277,Control
IBD,ERR4837042,SAMEA5816278,SAMEA5816278,Control
IBD,ERR4837043,SAMEA5816279,SAMEA5816279,Control
IBD,ERR4837044,SAMEA5816280,SAMEA5816280,Control
IBD,ERR4837045,SAMEA5816281,SAMEA5816281,Control
