Name,Run,BioSample,SampleName
"IBD Gut",SRR24715114,SAMN35342698,C11
"IBD Gut",SRR24715113,SAMN35342699,C11-2
"IBD Gut",SRR24715112,SAMN35342700,C12
"IBD Gut",SRR24715111,SAMN35342701,C12-2
"IBD Gut",SRR24715110,SAMN35342702,C13
"IBD Gut",SRR24715109,SAMN35342703,C13-2
"IBD Gut",SRR24715151,SAMN35342656,D1
"IBD Gut",SRR24715104,SAMN35342665,D10
"IBD Gut",SRR24715149,SAMN35342666,D11
"IBD Gut",SRR24715148,SAMN35342667,D12
"IBD Gut",SRR24715147,SAMN35342668,D13
"IBD Gut",SRR24715146,SAMN35342669,D14
"IBD Gut",SRR24715145,SAMN35342670,D15
"IBD Gut",SRR24715144,SAMN35342671,D16
"IBD Gut",SRR24715143,SAMN35342672,D17
"IBD Gut",SRR24715142,SAMN35342673,D18
"IBD Gut",SRR24715141,SAMN35342674,D19
"IBD Gut",SRR24715150,SAMN35342657,D2
"IBD Gut",SRR24715140,SAMN35342675,D20
"IBD Gut",SRR24715138,SAMN35342676,D21
"IBD Gut",SRR24715137,SAMN35342677,D21-2
"IBD Gut",SRR24715136,SAMN35342678,D22
"IBD Gut",SRR24715135,SAMN35342679,D23
"IBD Gut",SRR24715134,SAMN35342680,D24
"IBD Gut",SRR24715133,SAMN35342681,D25
"IBD Gut",SRR24715132,SAMN35342682,D26
"IBD Gut",SRR24715131,SAMN35342683,D27
"IBD Gut",SRR24715130,SAMN35342684,D28-2
"IBD Gut",SRR24715129,SAMN35342685,D29
"IBD Gut",SRR24715139,SAMN35342658,D3
"IBD Gut",SRR24715127,SAMN35342686,D30
"IBD Gut",SRR24715126,SAMN35342687,D31
"IBD Gut",SRR24715125,SAMN35342688,D32
"IBD Gut",SRR24715124,SAMN35342689,D33
"IBD Gut",SRR24715123,SAMN35342690,D34
"IBD Gut",SRR24715122,SAMN35342691,D35
"IBD Gut",SRR24715121,SAMN35342692,D36
"IBD Gut",SRR24715120,SAMN35342693,D37
"IBD Gut",SRR24715119,SAMN35342694,D38-2
"IBD Gut",SRR24715118,SAMN35342695,D39
"IBD Gut",SRR24715128,SAMN35342659,D4
"IBD Gut",SRR24715116,SAMN35342696,D40
"IBD Gut",SRR24715115,SAMN35342697,D41
"IBD Gut",SRR24715117,SAMN35342660,D5
"IBD Gut",SRR24715108,SAMN35342661,D6
"IBD Gut",SRR24715107,SAMN35342662,D7
"IBD Gut",SRR24715106,SAMN35342663,D8
"IBD Gut",SRR24715105,SAMN35342664,D9
