SampleID,"Cruise ID",Year,Month,Station,"Depth (m)","Tag Data","MetaG IMG/M Genome ID","MetaG BioSample Accession","MetaT IMG/M JGI project ID","MetaT BioSample                Accession","MetaP Pride File Prefix"
SI046_S3_10,46,2010,Jun,SI03,10,HRPyrotag,-,-,-,-,SH_SBI_TC_20
SI046_S3_60,46,2010,Jun,SI03,60,HRPyrotag,-,-,-,-,SH_SBI_TC_21
SI046_S3_100,46,2010,Jun,SI03,100,HRPyrotag,-,-,-,-,SH_SBI_TC_22
SI046_S3_120,46,2010,Jun,SI03,120,HRPyrotag,-,-,-,-,SH_SBI_TC_23
SI046_S3_135,46,2010,Jun,SI03,135,HRPyrotag,-,-,-,-,SH_SBI_TC_24
SI046_S3_150,46,2010,Jun,SI03,150,HRPyrotag,-,-,-,-,SH_SBI_TC_25
SI046_S3_200,46,2010,Jun,SI03,200,HRPyrotag,-,-,-,-,SH_SBI_TC_26
SI047_S3_10,47,2010,July,SI03,10,"HRPyrotag, LVPyrotag",-,-,3300004642,SAMN05224517,SH_SBI_TC2_SI047_10m
SI047_S3_100,47,2010,July,SI03,100,"HRPyrotag, LVPyrotag",3300000148,SAMN05224454,3300005234,SAMN05224498,SH_SBI_TC2_SI047_100m
SI047_S3_120,47,2010,July,SI03,120,"HRPyrotag, LVPyrotag",3300000212,SAMN05224455,3300004958,SAMN05224499,SH_SBI_TC2_SI047_120m
SI047_S3_135,47,2010,July,SI03,135,"HRPyrotag, LVPyrotag",3300000193,SAMN05224458,3300004640,SAMN05224500,SH_SBI_TC2_SI047_135m
SI047_S3_150,47,2010,July,SI03,150,"HRPyrotag, LVPyrotag",3300000154,SAMN05224459,3300004637,SAMN05224516,SH_SBI_TC2_SI047_150m
SI047_S3_200,47,2010,July,SI03,200,"HRPyrotag, LVPyrotag",3300000171,SAMN05224463,3300004974,SAMN05224501,SH_SBI_TC2_SI047_200m
SI048_S3_10,48,2010,Aug,SI03,10,LVPyrotag,3300000207,SAMN05224462,3300004960,SAMN05224502,SH_SBI_TC2_SI048_10m
SI048_S3_100,48,2010,Aug,SI03,100,LVPyrotag,3300000324,SAMN05224393,3300004962,SAMN05224503,SH_SBI_TC2_SI048_100m
SI048_S3_120,48,2010,Aug,SI03,120,LVPyrotag,3300000150,SAMN05224394,3300004639,SAMN05224504,SH_SBI_TC2_SI048_120m
SI048_S3_135,48,2010,Aug,SI03,135,LVPyrotag,3300000160,SAMN05224397,3300004638,SAMN05224505,SH_SBI_TC2_SI048_135m
SI048_S3_150,48,2010,Aug,SI03,150,LVPyrotag,3300000200,SAMN05224398,3300004636,SAMN05224511,SH_SBI_TC2_SI048_150m
SI048_S3_200,48,2010,Aug,SI03,200,LVPyrotag,3300000166,SAMN05224401,3300004641,SAMN05223291,SH_SBI_TC2_SI048_200m
SI053_S3_10,53,2011,Jan,SI03,10,LVPyrotag,3300000143,SAMN05224489,-,-,SH_SBI_TC2_SI053_10m
SI053_S3_100,53,2011,Jan,SI03,100,LVPyrotag,3300000187,SAMN05224490,-,-,SH_SBI_TC2_SI053_100m
SI053_S3_120,53,2011,Jan,SI03,120,LVPyrotag,3300000215,SAMN05224491,-,-,SH_SBI_TC2_SI053_120m
SI053_S3_135,53,2011,Jan,SI03,135,LVPyrotag,3300000211,SAMN05224492,-,-,SH_SBI_TC2_SI053_135m
SI053_S3_150,53,2011,Jan,SI03,150,LVPyrotag,3300000216,SAMN05224466,-,-,SH_SBI_TC2_SI053_150m
SI053_S3_200,53,2011,Jan,SI03,200,LVPyrotag,3300000151,SAMN05224467,-,-,SH_SBI_TC2_SI053_200m
SI054_S3_10,54,2011,Feb,SI03,10,"HRPyrotag, LVPyrotag",-,-,3300004957,SAMN05223292,SH_SBI_TC2_SI054_10m
SI054_S3_100,54,2011,Feb,SI03,100,"HRPyrotag, LVPyrotag",3300000158,SAMN05224410,3300004975,SAMN05223293,SH_SBI_TC2_SI054_100m
SI054_S3_120,54,2011,Feb,SI03,120,"HRPyrotag, LVPyrotag",3300000146,SAMN05224433,3300004954,SAMN05224510,SH_SBI_TC2_SI054_120m
SI054_S3_135,54,2011,Feb,SI03,135,"HRPyrotag, LVPyrotag",3300000201,SAMN05224473,3300005233,SAMN05236416,SH_SBI_TC2_SI054_135m
SI054_S3_150,54,2011,Feb,SI03,150,"HRPyrotag, LVPyrotag",3300000147,SAMN05224478,3300004968,SAMN05224506,SH_SBI_TC2_SI054_150m
SI054_S3_200,54,2011,Feb,SI03,200,"HRPyrotag, LVPyrotag",3300000214,SAMN05224438,3300004627,SAMN05224507,SH_SBI_TC2_SI054_200m
