study,name,Run,BioSample,sample,type,cohort,depth,salinity,temperature
HLA+16,"Baltic Sea",ERR215808,SAMEA1696215,S1,Marine,Summer,10,10.5,16.6
HLA+16,"Baltic Sea",ERR215790,SAMEA1696353,S101,Mesohaline,Summer,20,6.5,7.2
HLA+16,"Baltic Sea",ERR215925,SAMEA1696319,S104,Mesohaline,Summer,17,6.2,6.8
HLA+16,"Baltic Sea",ERR215892,SAMEA1696323,S107,Mesohaline,Summer,10,5.9,14.6
HLA+16,"Baltic Sea",ERR215862,SAMEA1696199,S111,Mesohaline,Summer,10,5.6,15
HLA+16,"Baltic Sea",ERR215896,SAMEA1696196,S112,Mesohaline,Summer,20,6,12.4
HLA+16,"Baltic Sea",ERR215989,SAMEA1696327,S119,Mesohaline,Summer,10,5,15.6
HLA+16,"Baltic Sea",ERR215884,SAMEA1696228,S12,Mesohaline,Summer,10,7.7,15.1
HLA+16,"Baltic Sea",ERR215854,SAMEA1696336,S140,Mesohaline,Summer,20,5.7,12.2
HLA+16,"Baltic Sea",ERR215805,SAMEA1696299,S15,Mesohaline,Summer,10,7.6,15
HLA+16,"Baltic Sea",ERR215841,SAMEA1696232,S186,Marine,Summer,1,13.3,17.9
HLA+16,"Baltic Sea",ERR215871,SAMEA1696250,S187,Marine,Summer,10,13.9,17.7
HLA+16,"Baltic Sea",ERR215858,SAMEA1696286,S19,Mesohaline,Summer,10,7.5,15.3
HLA+16,"Baltic Sea",ERR215887,SAMEA1696335,S190,Marine,Summer,15,27.2,10.7
HLA+16,"Baltic Sea",ERR215829,SAMEA1696279,S193,Marine,Summer,14,29.9,9.5
HLA+16,"Baltic Sea",ERR215907,SAMEA1696382,S196,Marine,Summer,16,29,11.2
HLA+16,"Baltic Sea",ERR215991,SAMEA1696285,S197,Marine,Summer,20,30.8,9.5
HLA+16,"Baltic Sea",ERR215860,SAMEA1696245,S199,Marine,Summer,1,17.4,19.4
HLA+16,"Baltic Sea",ERR215807,SAMEA1696378,S2,Marine,Summer,20,17,13.3
HLA+16,"Baltic Sea",ERR215848,SAMEA1696302,S200,Marine,Summer,10,23.3,15.9
HLA+16,"Baltic Sea",ERR215982,SAMEA1696359,S201,Marine,Summer,20,28.6,14.6
HLA+16,"Baltic Sea",ERR215978,SAMEA1696189,S203,Marine,Summer,1,20.4,17.2
HLA+16,"Baltic Sea",ERR215859,SAMEA1696361,S204,Marine,Summer,5.5,21.5,16.7
HLA+16,"Baltic Sea",ERR215912,SAMEA1696206,S205,Marine,Summer,10,26.9,14.5
HLA+16,"Baltic Sea",ERR215923,SAMEA1696360,S206,Marine,Summer,13,26.6,14.6
HLA+16,"Baltic Sea",ERR215885,SAMEA1696369,S207,Marine,Summer,1,19.2,18.2
HLA+16,"Baltic Sea",ERR215846,SAMEA1696315,S209,Marine,Summer,20,30.1,14.2
HLA+16,"Baltic Sea",ERR215922,SAMEA1696385,S211,Marine,Summer,1,23.8,17.4
HLA+16,"Baltic Sea",ERR215794,SAMEA1696379,S213,Marine,Summer,20,30.9,13.7
HLA+16,"Baltic Sea",ERR215957,SAMEA1696290,S216,Marine,Summer,1,26.9,17
HLA+16,"Baltic Sea",ERR215825,SAMEA1696187,S218,Marine,Summer,20,31,14.8
HLA+16,"Baltic Sea",ERR215797,SAMEA1696342,S221,Marine,Summer,1,30.6,16.6
HLA+16,"Baltic Sea",ERR215893,SAMEA1696200,S222,Marine,Summer,20,33.5,10.2
HLA+16,"Baltic Sea",ERR215913,SAMEA1696242,S226,Marine,Summer,1,30.9,16.9
HLA+16,"Baltic Sea",ERR215914,SAMEA1696252,S227,Marine,Summer,20,33.8,9.8
HLA+16,"Baltic Sea",ERR215839,SAMEA1696370,S27,Mesohaline,Summer,10,7.2,15.3
HLA+16,"Baltic Sea",ERR215905,SAMEA1696340,S3,Mesohaline,Summer,10,7.7,15.5
HLA+16,"Baltic Sea",ERR215949,SAMEA1696358,S31,Mesohaline,Summer,10,7.4,14.7
HLA+16,"Baltic Sea",ERR215908,SAMEA1696238,S39,Mesohaline,Summer,10,7.3,14.8
HLA+16,"Baltic Sea",ERR215809,SAMEA1696240,S45,Mesohaline,Summer,20,7.1,6.2
HLA+16,"Baltic Sea",ERR215889,SAMEA1696339,S58,Mesohaline,Summer,10,6.2,14.5
HLA+16,"Baltic Sea",ERR215919,SAMEA1696274,S66,Mesohaline,Summer,10,5,13
HLA+16,"Baltic Sea",ERR215879,SAMEA1696328,S67,Mesohaline,Summer,2,4.9,13.5
HLA+16,"Baltic Sea",ERR215824,SAMEA1696193,S68,Mesohaline,Summer,20,5.8,5.3
HLA+16,"Baltic Sea",ERR215918,SAMEA1696243,S71,Mesohaline,Summer,2,5.3,12.2
HLA+16,"Baltic Sea",ERR215853,SAMEA1696362,S72,Mesohaline,Summer,10,5.3,11.3
HLA+16,"Baltic Sea",ERR215954,SAMEA1696183,S75,Mesohaline,Summer,2,5.3,12.2
HLA+16,"Baltic Sea",ERR215944,SAMEA1696303,S79,Oligohaline,Summer,2,2.6,12.2
HLA+16,"Baltic Sea",ERR215877,SAMEA1696235,S80,Oligohaline,Summer,7.5,2.7,12.7
HLA+16,"Baltic Sea",ERR215897,SAMEA1696216,S84,Oligohaline,Summer,10,2.8,9.1
HLA+16,"Baltic Sea",ERR215945,SAMEA1696249,S87,Oligohaline,Summer,2,3.2,12.6
HLA+16,"Baltic Sea",ERR215863,SAMEA1696343,S88,Oligohaline,Summer,10,3.5,11.6
HLA+16,"Baltic Sea",ERR215869,SAMEA1696352,S9,Mesohaline,Summer,10,7.5,15
HLA+16,"Baltic Sea",ERR215933,SAMEA1696356,S91,Mesohaline,Summer,2,4.9,13.3
HLA+16,"Baltic Sea",ERR215936,SAMEA1696344,S92,Mesohaline,Summer,20,5.1,8.7
HLA+16,"Baltic Sea",ERR215975,SAMEA1696333,S96,Mesohaline,Summer,10,4.8,12.2
