"sample","percentage","nreads_clade","nreads_taxon","rank","taxid","name"
"30m",18.34,20651,20651,"S",166314,"                  Synechococcus sp. WH 8109"
"30m",9.87,11109,11109,"S",110662,"                  Synechococcus sp. CC9605"
"30m",4.02,4520,4520,"S",585425,"                  Synechococcus sp. KORDI-52"
"30m",2.04,2302,2302,"S",316278,"                  Synechococcus sp. RCC307"
"30m",5.25,24500,5908,"S",1219,"                  Prochlorococcus marinus"
"30m",4.82,5429,5429,"-",146891,"                    Prochlorococcus marinus str. AS9601"
"30m",4.39,4938,4938,"-",167546,"                    Prochlorococcus marinus str. MIT 9301"
"30m",3.35,3766,3766,"-",74546,"                    Prochlorococcus marinus str. MIT 9312"
"30m",3.24,3643,3643,"-",93060,"                    Prochlorococcus marinus str. MIT 9215"
"30m",3.69,4159,4159,"S",1501268,"                  Prochlorococcus sp. MIT 0604"
"30m",3.01,3388,3388,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"30m",1.29,1448,1448,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"30m",1.24,1392,1392,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"30m",1.03,1161,1161,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"30m",1.85,2083,2083,"S",744985,"                alpha proteobacterium HIMB59"
"30m",1.54,1737,1737,"S",859653,"                alpha proteobacterium HIMB5"
"30m",1.01,1288,1141,"S",1427364,"              Candidatus Thioglobus singularis"
"30m",7.96,8965,8965,"S",1898749,"                Candidatus Nitrosomarinus catalina"
"30m",1.2,1352,1352,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
"85m",12.47,6259,5653,"S",1427364,"              Candidatus Thioglobus singularis"
"85m",1.34,606,606,"-",1125411,"                Candidatus Thioglobus singularis PS1"
"85m",2.44,1373,1106,"S",28108,"                Alteromonas macleodii"
"85m",1.21,587,547,"S",314275,"                Alteromonas mediterranea"
"85m",3.72,1687,1687,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"85m",3.33,1512,1512,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"85m",2.49,1130,1130,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"85m",2.22,1007,1007,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"85m",2.27,1031,1031,"S",859653,"                alpha proteobacterium HIMB5"
"85m",10.59,4803,4803,"-",74547,"                    Prochlorococcus marinus str. MIT 9313"
"85m",6.55,2969,2969,"S",1898749,"                Candidatus Nitrosomarinus catalina"
"85m",1.71,777,777,"S",1580092,"                Candidatus Nitrosopumilus adriaticus"
"85m",1.7,771,771,"S",1229909,"                Candidatus Nitrosopumilus sediminis"
"85m",4.86,2202,2202,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
"100m",4.06,1011,757,"S",28108,"                Alteromonas macleodii"
"100m",2.74,542,511,"S",314275,"                Alteromonas mediterranea"
"100m",1.24,231,231,"-",1312369,"                  Pseudoalteromonas agarivorans DSM 14585"
"100m",4.54,935,848,"S",1427364,"              Candidatus Thioglobus singularis"
"100m",3.76,702,702,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"100m",2.69,503,503,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"100m",1.86,347,347,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"100m",1.44,269,269,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"100m",1.08,202,202,"S",1002672,"                Candidatus Pelagibacter sp. IMCC9063"
"100m",1.96,365,365,"S",859653,"                alpha proteobacterium HIMB5"
"100m",1.75,7031,326,"-",1783272,"      Terrabacteria group"
"100m",7,1306,1306,"-",74547,"                    Prochlorococcus marinus str. MIT 9313"
"100m",1.01,188,188,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
"125m",9.62,1576,1172,"S",28108,"                Alteromonas macleodii"
"125m",1.19,145,145,"-",1004788,"                  Alteromonas macleodii str. 'English Channel 673'"
"125m",2.32,305,283,"S",314275,"                Alteromonas mediterranea"
"125m",3.17,435,386,"S",1427364,"              Candidatus Thioglobus singularis"
"125m",3.04,371,371,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"125m",1.84,224,224,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"125m",1.56,190,190,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"125m",1.35,165,165,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"125m",1.4,170,170,"S",859653,"                alpha proteobacterium HIMB5"
"125m",1.59,4044,194,"-",1783272,"      Terrabacteria group"
"125m",3.99,486,486,"-",74547,"                    Prochlorococcus marinus str. MIT 9313"
"300m",2.48,1618,1618,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"300m",1.36,885,885,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"300m",1.32,857,857,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"300m",1.17,764,764,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"300m",1.19,773,773,"S",859653,"                alpha proteobacterium HIMB5"
"300m",3.8,2478,2478,"-",1265309,"                  Ruegeria mobilis F1926"
"300m",1.29,839,839,"S",1229727,"                Thiobacimonas profunda"
"300m",3.53,2300,2300,"S",192812,"                Erythrobacter flavus"
"300m",1.19,774,774,"S",1420917,"                Marinobacter salarius"
"300m",2.76,2014,1796,"S",1427364,"              Candidatus Thioglobus singularis"
"300m",1.21,29056,790,"-",1783272,"      Terrabacteria group"
"300m",6.37,4149,4149,"S",166314,"                  Synechococcus sp. WH 8109"
"300m",3.62,2356,2356,"S",110662,"                  Synechococcus sp. CC9605"
"300m",1.34,873,873,"S",585425,"                  Synechococcus sp. KORDI-52"
