"sample","percentage","nreads_clade","nreads_taxon","rank","taxid","name"
"Ginger_Castle",3.13,3198,3198,"S",1850254,"                  Arcobacter sp. LPB0137"
"Ginger_Castle",1.34,1985,1372,"S",28197,"                  Arcobacter butzleri"
"Ginger_Castle",1.72,1758,1758,"-",572480,"                    Arcobacter nitrofigilis DSM 7299"
"Ginger_Castle",1.28,1308,1308,"S",944547,"                  Arcobacter sp. L"
"Ginger_Castle",3.77,3853,3853,"-",929558,"                    Sulfurimonas gotlandica GD1"
"Ginger_Castle",3.74,3819,3819,"-",563040,"                    Sulfurimonas autotrophica DSM 16294"
"Ginger_Castle",1.78,1815,1815,"-",326298,"                    Sulfurimonas denitrificans DSM 1251"
"Ginger_Castle",2.67,2724,2724,"S",387093,"                Sulfurovum sp. NBC37-1"
"Ginger_Castle",1.81,1852,1852,"S",206403,"                Sulfurovum lithotrophicum"
"Ginger_Castle",3.01,3074,3074,"-",598659,"                    Nautilia profundicola AmH"
"Ginger_Castle",2.14,2180,2180,"-",1167006,"                    Desulfocapsa sulfexigens DSM 10523"
"Ginger_Castle",1.52,1551,1551,"-",670487,"                    Oceanithermus profundus DSM 14977"
"Ginger_Castle",3.7,3772,3772,"S",582419,"                Thermococcus paralvinellae"
"Ginger_Castle",1.1,1125,1125,"S",1712654,"                Thermococcus piezophilus"
"Ginger_Castle",2.18,2227,2227,"-",647113,"                  Methanothermococcus okinawensis IH1"
"Shrimp_Gulley_2",3.24,2794,2794,"S",1850254,"                  Arcobacter sp. LPB0137"
"Shrimp_Gulley_2",1.88,1942,1625,"S",28197,"                  Arcobacter butzleri"
"Shrimp_Gulley_2",1.85,1598,1598,"S",944547,"                  Arcobacter sp. L"
"Shrimp_Gulley_2",1.62,1399,1399,"-",572480,"                    Arcobacter nitrofigilis DSM 7299"
"Shrimp_Gulley_2",1.41,1212,1212,"S",1581011,"                  Sulfurospirillum sp. UCH001"
"Shrimp_Gulley_2",3.91,3369,3369,"-",929558,"                    Sulfurimonas gotlandica GD1"
"Shrimp_Gulley_2",3.68,3173,3173,"-",563040,"                    Sulfurimonas autotrophica DSM 16294"
"Shrimp_Gulley_2",1.76,1520,1520,"-",326298,"                    Sulfurimonas denitrificans DSM 1251"
"Shrimp_Gulley_2",7.23,6236,6236,"S",387093,"                Sulfurovum sp. NBC37-1"
"Shrimp_Gulley_2",4.68,4036,4036,"S",206403,"                Sulfurovum lithotrophicum"
"Shrimp_Gulley_2",1.18,1021,1021,"S",387092,"                Nitratiruptor sp. SB155-2"
"Shrimp_Gulley_2",4.91,4230,4230,"-",598659,"                    Nautilia profundicola AmH"
"Shrimp_Gulley_2",1.95,1681,1681,"S",1622118,"                    Lutibacter profundi"
"Marker_33",1.65,8755,8755,"S",1850254,"                  Arcobacter sp. LPB0137"
"Marker_33",1.13,7860,5989,"S",28197,"                  Arcobacter butzleri"
"Marker_33",1.18,6275,6275,"S",944547,"                  Arcobacter sp. L"
"Marker_33",1.11,5902,5902,"-",572480,"                    Arcobacter nitrofigilis DSM 7299"
"Marker_33",1.78,9419,9419,"-",929558,"                    Sulfurimonas gotlandica GD1"
"Marker_33",1.58,8391,8391,"-",563040,"                    Sulfurimonas autotrophica DSM 16294"
"Marker_33",2.9,15379,15379,"-",598659,"                    Nautilia profundicola AmH"
"Marker_33",1.47,7806,7806,"S",1705394,"              Candidatus Thioglobus autotrophicus"
"Marker_33",3.77,19981,19981,"-",868864,"                  Desulfurobacterium thermolithotrophum DSM 11699"
"Marker_33",31.12,164993,164993,"S",644281,"                Methanocaldococcus sp. FS406-22"
"Marker_33",5.63,29864,29864,"S",1301915,"                Methanocaldococcus bathoardescens"
"Marker_33",3.54,18786,18786,"-",243232,"                  Methanocaldococcus jannaschii DSM 2661"
"Marker_33",1.09,5754,5754,"-",573064,"                  Methanocaldococcus fervens AG86"
"Marker_33",6.07,32206,32206,"-",572546,"                  Archaeoglobus profundus DSM 5631"
"Marker_113",39.04,388621,388621,"-",419665,"                  Methanococcus aeolicus Nankai-3"
"Marker_113",7.73,76931,76931,"-",647113,"                  Methanothermococcus okinawensis IH1"
"Marker_113",7.38,73481,73481,"S",644281,"                Methanocaldococcus sp. FS406-22"
"Marker_113",1.74,17311,17311,"S",1301915,"                Methanocaldococcus bathoardescens"
"Marker_113",1.28,12693,12693,"-",243232,"                  Methanocaldococcus jannaschii DSM 2661"
"Marker_113",8.46,84185,84185,"S",76760,"                  Pseudomonas rhodesiae"
"Marker_113",11.37,113197,113197,"S",1420917,"                Marinobacter salarius"
"Anemone",2.29,28954,4864,"-",118884,"          unclassified Gammaproteobacteria"
"Anemone",6.96,14808,14808,"S",1705394,"              Candidatus Thioglobus autotrophicus"
"Anemone",1.49,3173,3173,"-",1303921,"                endosymbiont of Bathymodiolus septemdierum str. Myojin knoll"
"Anemone",3.87,8238,8238,"S",1420917,"                Marinobacter salarius"
"Anemone",1.96,4159,4159,"-",929558,"                    Sulfurimonas gotlandica GD1"
"Anemone",1.59,3376,3376,"-",563040,"                    Sulfurimonas autotrophica DSM 16294"
"Anemone",1.72,3656,3656,"-",749222,"                    Nitratifractor salsuginis DSM 16511"
"Anemone",2.9,6169,6169,"S",387093,"                Sulfurovum sp. NBC37-1"
"Anemone",2.07,4408,4408,"S",206403,"                Sulfurovum lithotrophicum"
"Anemone",3.16,6713,6713,"S",316279,"                  Synechococcus sp. CC9902"
"Anemone",2.01,4283,4283,"-",59919,"                      Prochlorococcus marinus subsp. pastoris str. CCMP1986"
"Anemone",3.24,6886,6886,"S",54077,"                Thermococcus barossii"
"Plume",5.57,104645,15155,"-",118884,"          unclassified Gammaproteobacteria"
"Plume",21.22,57719,57719,"S",1705394,"              Candidatus Thioglobus autotrophicus"
"Plume",2.14,6300,5814,"S",1427364,"              Candidatus Thioglobus singularis"
"Plume",3.87,10541,10541,"-",1303921,"                endosymbiont of Bathymodiolus septemdierum str. Myojin knoll"
"Plume",2.67,7251,7251,"-",413404,"                  Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)"
"Plume",1.71,4659,4659,"-",412965,"                Candidatus Vesicomyosocius okutanii HA"
"Plume",2.3,6248,6248,"S",152297,"                Pseudoalteromonas issachenkonii"
"Plume",2.01,5465,5465,"S",1420917,"                Marinobacter salarius"
"Plume",1.01,2753,2753,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"Plume",1.41,3830,3830,"-",929558,"                    Sulfurimonas gotlandica GD1"
"Plume",1.06,2890,2890,"-",563040,"                    Sulfurimonas autotrophica DSM 16294"
"Plume",1.29,3521,3521,"-",216432,"                      Croceibacter atlanticus HTCC2559"
"Background",11.14,55907,55907,"S",152297,"                Pseudoalteromonas issachenkonii"
"Background",1.99,10004,10004,"-",1312369,"                  Pseudoalteromonas agarivorans DSM 14585"
