"sample","percentage","nreads_clade","nreads_taxon","rank","taxid","name"
"25m",18.82,4972561,1225708,"S",1219,"                  Prochlorococcus marinus"
"25m",17.4,1132864,1132864,"-",146891,"                    Prochlorococcus marinus str. AS9601"
"25m",16.49,1073728,1073728,"-",167546,"                    Prochlorococcus marinus str. MIT 9301"
"25m",11.76,765925,765925,"-",93060,"                    Prochlorococcus marinus str. MIT 9215"
"25m",10.29,670299,670299,"-",74546,"                    Prochlorococcus marinus str. MIT 9312"
"25m",15.2,989746,989746,"S",1501268,"                  Prochlorococcus sp. MIT 0604"
"25m",1.52,98724,98724,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"25m",1.4,90886,90886,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"45m",19.26,2934018,730720,"S",1219,"                  Prochlorococcus marinus"
"45m",17.57,666870,666870,"-",146891,"                    Prochlorococcus marinus str. AS9601"
"45m",16.7,633760,633760,"-",167546,"                    Prochlorococcus marinus str. MIT 9301"
"45m",11.77,446788,446788,"-",93060,"                    Prochlorococcus marinus str. MIT 9215"
"45m",10.35,392637,392637,"-",74546,"                    Prochlorococcus marinus str. MIT 9312"
"45m",15.28,579922,579922,"S",1501268,"                  Prochlorococcus sp. MIT 0604"
"45m",1.66,62846,62846,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"45m",1.62,61515,61515,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"75m",19.11,4678322,1151937,"S",1219,"                  Prochlorococcus marinus"
"75m",17.48,1053650,1053650,"-",146891,"                    Prochlorococcus marinus str. AS9601"
"75m",16.37,987037,987037,"-",167546,"                    Prochlorococcus marinus str. MIT 9301"
"75m",11.97,721442,721442,"-",93060,"                    Prochlorococcus marinus str. MIT 9215"
"75m",10.89,656514,656514,"-",74546,"                    Prochlorococcus marinus str. MIT 9312"
"75m",1.03,62102,62102,"-",59919,"                      Prochlorococcus marinus subsp. pastoris str. CCMP1986"
"75m",15.34,924880,924880,"S",1501268,"                  Prochlorococcus sp. MIT 0604"
"75m",1.21,72748,72748,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"75m",1.1,66050,66050,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"125m",19.52,2168789,541576,"S",1219,"                  Prochlorococcus marinus"
"125m",17.22,477963,477963,"-",74546,"                    Prochlorococcus marinus str. MIT 9312"
"125m",12.19,338407,338407,"-",146891,"                    Prochlorococcus marinus str. AS9601"
"125m",11.61,322184,322184,"-",167546,"                    Prochlorococcus marinus str. MIT 9301"
"125m",10.12,280704,280704,"-",93060,"                    Prochlorococcus marinus str. MIT 9215"
"125m",2.32,64451,64451,"-",167555,"                    Prochlorococcus marinus str. NATL1A"
"125m",2.28,63171,63171,"-",59920,"                    Prochlorococcus marinus str. NATL2A"
"125m",1.69,46914,46914,"-",59919,"                      Prochlorococcus marinus subsp. pastoris str. CCMP1986"
"125m",1.06,29455,29455,"-",167542,"                    Prochlorococcus marinus str. MIT 9515"
"125m",11.92,330708,330708,"S",1501268,"                  Prochlorococcus sp. MIT 0604"
"125m",2.42,67093,67093,"S",1501269,"                  Prochlorococcus sp. MIT 0801"
"200m",1.52,3980,3980,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"200m",1.33,3495,3495,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"200m",2.27,9822,5960,"S",680,"                  Vibrio campbellii"
"200m",1.16,3036,3036,"-",1224742,"                    Vibrio campbellii CAIM 519 = NBRC 15631"
"200m",2.76,40135,7238,"S",1219,"                  Prochlorococcus marinus"
"200m",7.89,20670,20670,"-",74547,"                    Prochlorococcus marinus str. MIT 9313"
"200m",1.7,4466,4466,"-",167555,"                    Prochlorococcus marinus str. NATL1A"
"200m",1.66,4346,4346,"-",59920,"                    Prochlorococcus marinus str. NATL2A"
"200m",1.43,3746,3746,"S",1501269,"                  Prochlorococcus sp. MIT 0801"
"200m",53.77,140919,140919,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
"500m",3.2,4853,4853,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"500m",3.16,4782,4782,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"500m",2.22,3366,3366,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"500m",2,3029,3029,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"500m",2.12,3212,3212,"S",859653,"                alpha proteobacterium HIMB5"
"500m",1.71,2596,2596,"S",192812,"                Erythrobacter flavus"
"500m",10.75,16291,16291,"S",589873,"                Alteromonas australica"
"500m",1.33,2015,2015,"S",161398,"                Pseudoalteromonas phenolica"
