"Type","Genome.name","Domain","Phylum","Order","Refseq.name","taxid"
Anf,"Paludibacter propionicigenes WB4",BACTERIAL,Bacteroidetes,Bacteroidia,"Paludibacter propionicigenes",185300
Anf,"Chloroherpeton thalassium ATCC 35110",BACTERIAL,Chlorobi,Chlorobia,"Chloroherpeton thalassium",100716
Anf,"Methanosarcina barkeri 3",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Anf,"Methanosarcina acetivorans C2A",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina acetivorans",2214
Anf,"Syntrophobotulus glycolicus DSM 8271",BACTERIAL,Firmicutes,Clostridia,"Syntrophobotulus glycolicus",51197
Anf,"Acetobacterium woodii DSM 1030",BACTERIAL,Firmicutes,Clostridia,"Acetobacterium woodii",33952
Anf,"Pelosinus sp. UFO1",BACTERIAL,Firmicutes,Negativicutes,"Pelosinus sp. UFO1",484770
Anf,"Pelosinus fermentans JBW45",BACTERIAL,Firmicutes,Negativicutes,"Pelosinus fermentans",365349
Anf,"Paenibacillus sp. FSL H7-0357",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus sp. FSL H7-0357",1536774
Anf,"Paenibacillus borealis",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus borealis",160799
Anf,"Paenibacillus stellifer",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus stellifer",169760
Anf,"Paenibacillus riograndensis SBR5",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus riograndensis",483937
Anf,"Clostridium saccharoperbutylacetonicum N1-4(HMT)",BACTERIAL,Firmicutes,Clostridia,"Clostridium saccharoperbutylacetonicum",36745
Anf,"Clostridium pasteurianum DSM 525 = ATCC 6013",BACTERIAL,Firmicutes,Clostridia,"Clostridium pasteurianum",1501
Anf,"Clostridium pasteurianum DSM 525 = ATCC 6013",BACTERIAL,Firmicutes,Clostridia,"Clostridium pasteurianum",1501
Anf,"Rhodospirillum rubrum ATCC 11170",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodospirillum rubrum",1085
Anf,"Rhodopseudomonas palustris BisB18",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
Anf,"Rhodopseudomonas palustris BisA53",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
Anf,"Rhodopseudomonas palustris TIE-1",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
Anf,"Rhodobacter sphaeroides KD131",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodobacter sphaeroides",1063
Anf,"Azotobacter vinelandii DJ",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Azotobacter vinelandii",354
Anf,"Dickeya paradisiaca Ech703",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Dickeya paradisiaca",69223
Anf,"Rhodobacter capsulatus SB 1003",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodobacter capsulatus",1061
Anf,"Rhodomicrobium vannielii ATCC 17100",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodomicrobium vannielii",1069
Anf,"Rhodopseudomonas palustris DX-1",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
Anf,"Zymomonas mobilis subsp. pomaceae ATCC 29192",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Zymomonas mobilis",542
Anf,"Rhodospirillum rubrum F11",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodospirillum rubrum",1085
Anf,"Blastochloris viridis",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Blastochloris viridis",1079
Anf,"Blastochloris viridis",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Blastochloris viridis",1079
Anf,"Rhodospirillum photometricum DSM 122",BACTERIAL,Proteobacteria,Alphaproteobacteria,NA,NA
Anf,"Opitutaceae bacterium TAV5",BACTERIAL,Verrucomicrobia,Opitutae,"Opitutaceae bacterium TAV5",794903
Anf,"Rhodopseudomonas palustris CGA009",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
Nif-A,"Sinorhizobium fredii NGR234",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Sinorhizobium fredii",380
Nif-A,"Sinorhizobium fredii NGR234",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Sinorhizobium fredii",380
Nif-A,"Sinorhizobium meliloti 1021",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Sinorhizobium meliloti",382
Nif-A,"Rhizobium etli CFN 42",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium etli",29449
Nif-A,"Rhizobium etli CFN 42",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium etli",29449
Nif-A,"Geobacter sulfurreducens PCA",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Geobacter sulfurreducens",35554
Nif-A,"Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821",264203
Nif-A,"Dechloromonas aromatica RCB",BACTERIAL,Proteobacteria,Betaproteobacteria,"Dechloromonas aromatica",259537
Nif-A,"Anabaena variabilis ATCC 29413",BACTERIAL,Cyanobacteria,None,"Anabaena",1163
Nif-A,"Pelobacter carbinolicus DSM 2380",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Pelobacter carbinolicus",19
Nif-A,"Geobacter metallireducens GS-15",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Geobacter metallireducens",28232
