"dataset","description","tags","n1","n2","Zc.down","Zc.up","Zc.diff","nH2O.down","nH2O.up","nH2O.diff","nAA.down","nAA.up","nAA.diff","MW.down","MW.up","MW.diff"
BRA+10,"placental secretome",,41,22,-0.1007,-0.1271,-0.0265,-0.7586,-0.7635,-0.0049,390,379.5,-10.5,110.7381,111.8231,1.0849
PTD+10_Hx48,"A431 squamous carcinoma cells Hx48",cancer,38,78,-0.1239,-0.1509,-0.0269,-0.7954,-0.727,0.0685,605.5,431,-174.5,111.1648,111.067,-0.0978
PTD+10_Hx72,"A431 squamous carcinoma cells Hx72",cancer,43,66,-0.1366,-0.1381,-0.0015,-0.796,-0.7306,0.0654,571,275,-296,110.8676,111.3106,0.443
JVC+12,"endothelial cell-derived exosomes",,64,45,-0.1346,-0.1347,-1e-04,-0.7634,-0.6793,0.0841,512,283,-229,111.7306,111.2796,-0.451
SKA+13,"cytotrophoblast-derived exosomes",,38,25,-0.1464,-0.1009,0.0456,-0.7844,-0.7468,0.0376,422.5,494,71.5,111.9824,110.7686,-1.2137
SRS+13a_3,"pMSC 3 / 1 % O2",,193,72,-0.122,-0.1084,0.0136,-0.7535,-0.7591,-0.0055,550,634.5,84.5,111.6461,112.2657,0.6195
SRS+13a_8,"pMSC 8 / 1 % O2",,193,75,-0.122,-0.1163,0.0057,-0.7535,-0.7723,-0.0188,550,717,167,111.6461,112.7539,1.1078
LRS+14_Hy,"myoblast secretome",,52,29,-0.1507,-0.1104,0.0403,-0.756,-0.802,-0.0459,430.5,707,276.5,111.9963,110.5948,-1.4015
YKK+14_soluble,"U373MG glioma cells soluble",cancer,45,22,-0.14,-0.0743,0.0658,-0.7695,-0.7966,-0.0271,417,363.5,-53.5,111.3995,111.8875,0.4879
YKK+14_exosome,"U373MG glioma cells exosome",cancer,56,40,-0.1405,-0.0887,0.0518,-0.7465,-0.7841,-0.0376,506.5,407,-99.5,110.8362,111.8875,1.0513
CRS+15_wt,"MDA-MB-231 breast cancer parental cells",cancer,28,25,-0.1281,-0.1263,0.0018,-0.7328,-0.7859,-0.0531,521.5,554,32.5,112.4177,110.9968,-1.4209
CRS+15_BT,"MDA-BT breast cancer bone tropic cells",cancer,20,79,-0.1398,-0.104,0.0358,-0.7133,-0.7977,-0.0844,397,582,185,112.8403,111.6208,-1.2195
RTA+15,"LNCaP and PC3 prostate cancer cell exosomes",cancer,16,111,-0.129,-0.1416,-0.0127,-0.769,-0.7341,0.0348,564,394,-170,110.9942,111.8506,0.8564
RSE+16,"adipose-derived stem cells",,66,50,-0.1469,-0.1204,0.0265,-0.7443,-0.7577,-0.0134,392.5,451,58.5,111.6445,112.1421,0.4975
CGH+17_exosomes,"mouse cardiac fibroblasts exosomes",,73,71,-0.1601,-0.1205,0.0396,-0.706,-0.7745,-0.0684,463,573,110,111.3818,110.262,-1.1198
CGH+17_secretome,"mouse cardiac fibroblasts secretome",,47,75,-0.1068,-0.1023,0.0045,-0.748,-0.8022,-0.0542,505,474,-31,112.0638,110.8298,-1.234
CLY+18_secretome,"HCT116 colon cancer cells secretome",cancer,104,88,-0.1512,-0.1224,0.0289,-0.7459,-0.7748,-0.0289,497.5,351.5,-146,112.316,111.1889,-1.1271
DWW+18,"ovarian cancer cell exosomes",cancer,22,102,-0.1419,-0.1352,0.0067,-0.7474,-0.7481,-6e-04,650,654.5,4.5,110.341,112.2824,1.9413
FPR+18,"endothelial progenitor cells",,41,42,-0.1339,-0.1346,-8e-04,-0.7687,-0.7483,0.0204,370,537,167,111.1029,111.0205,-0.0824
ODS+18,"AC10 ventricular cardiomyocyte extracellular vesicles",,14,60,-0.1281,-0.1329,-0.0048,-0.8009,-0.7805,0.0204,814,704.5,-109.5,113.5148,110.6578,-2.857
CWG+19,"U87-MG glioma cell extracellular vesicles",cancer,980,1034,-0.1249,-0.1237,0.0013,-0.7635,-0.7616,0.0019,561.5,606,44.5,112.0097,111.7897,-0.2199
KAN+19_secretome,"cancer-associated fibroblasts secretome",cancer,33,26,-0.114,-0.1344,-0.0204,-0.7432,-0.7482,-0.005,630,337,-293,109.5165,111.9315,2.4151
NJVS19_CAM,"cancer-associated myofibroblasts",cancer,96,54,-0.1377,-0.1084,0.0293,-0.7363,-0.7588,-0.0225,375.5,438.5,63,111.0024,109.9541,-1.0484
NJVS19_NTM,"normal tissue myofibroblasts",,143,233,-0.0954,-0.1241,-0.0287,-0.8022,-0.7455,0.0567,552,364,-188,110.8558,111.8306,0.9748
PDT+19,"mouse melanoma B16-F0 exosomes",cancer,219,988,-0.1358,-0.1339,0.002,-0.7644,-0.75,0.0144,426,472.5,46.5,111.5009,111.8016,0.3007
