Name,Run,BioSample,SampleName,Disease
"COVID-19 Oropharyngeal",SRR13442697,SAMN17320897,10btor,COVID-19
"COVID-19 Oropharyngeal",SRR13442696,SAMN17320898,10sal,Control
"COVID-19 Oropharyngeal",SRR13442685,SAMN17320899,11ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442674,SAMN17320900,11sal,Control
"COVID-19 Oropharyngeal",SRR13442663,SAMN17320901,12ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442661,SAMN17320902,13ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442660,SAMN17320903,14ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442659,SAMN17320904,15ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442658,SAMN17320905,16ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442657,SAMN17320906,17ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442695,SAMN17320907,18ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442694,SAMN17320908,19ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442693,SAMN17320909,1ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442692,SAMN17320910,1sal,Control
"COVID-19 Oropharyngeal",SRR13442691,SAMN17320911,20ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442690,SAMN17320912,21A,COVID-19
"COVID-19 Oropharyngeal",SRR13442689,SAMN17320913,22A,COVID-19
"COVID-19 Oropharyngeal",SRR13442688,SAMN17320914,23A,COVID-19
"COVID-19 Oropharyngeal",SRR13442687,SAMN17320915,24A,COVID-19
"COVID-19 Oropharyngeal",SRR13442686,SAMN17320916,25A,COVID-19
"COVID-19 Oropharyngeal",SRR13442684,SAMN17320917,26A,COVID-19
"COVID-19 Oropharyngeal",SRR13442683,SAMN17320918,2ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442682,SAMN17320919,2sal,Control
"COVID-19 Oropharyngeal",SRR13442681,SAMN17320920,3ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442680,SAMN17320921,3sal,Control
"COVID-19 Oropharyngeal",SRR13442679,SAMN17320922,4ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442678,SAMN17320923,4sal,Control
"COVID-19 Oropharyngeal",SRR13442677,SAMN17320924,5ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442676,SAMN17320925,5sal,Control
"COVID-19 Oropharyngeal",SRR13442675,SAMN17320926,6ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442673,SAMN17320927,6sal,Control
"COVID-19 Oropharyngeal",SRR13442672,SAMN17320928,7ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442671,SAMN17320929,7sal,Control
"COVID-19 Oropharyngeal",SRR13442670,SAMN17320930,8ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442669,SAMN17320931,8sal,Control
"COVID-19 Oropharyngeal",SRR13442668,SAMN17320932,9ator,COVID-19
"COVID-19 Oropharyngeal",SRR13442667,SAMN17320933,9sal,Control
"COVID-19 Oropharyngeal",SRR13442666,SAMN17320934,DG,Control
"COVID-19 Oropharyngeal",SRR13442665,SAMN17320935,ON,Control
"COVID-19 Oropharyngeal",SRR13442664,SAMN17320936,PF,Control
"COVID-19 Oropharyngeal",SRR13442662,SAMN17320937,VW,Control
