Name,Run,BioSample,LibraryName,Sample,Type
"COVID-19 Gut",SRR13760959,SAMN18011805,122,Control_replicate_7,Control
"COVID-19 Gut",SRR13760958,SAMN18011806,132,Control_replicate_8,Control
"COVID-19 Gut",SRR13760957,SAMN18011807,133,Control_replicate_9,Control
"COVID-19 Gut",SRR13760956,SAMN18011808,136,Control_replicate_10,Control
"COVID-19 Gut",SRR13760955,SAMN18011809,140,Control_replicate_11,Control
"COVID-19 Gut",SRR13760954,SAMN18011810,148,Control_replicate_12,Control
"COVID-19 Gut",SRR13760953,SAMN18011811,174,Control_replicate_13,Control
"COVID-19 Gut",SRR13760952,SAMN18011812,178,Control_replicate_14,Control
"COVID-19 Gut",SRR13760966,SAMN18011799,22,Control_replicate_1,Control
"COVID-19 Gut",SRR13760965,SAMN18011800,51,Control_replicate_2,Control
"COVID-19 Gut",SRR13760964,SAMN18011801,57,Control_replicate_3,Control
"COVID-19 Gut",SRR13760963,SAMN18011802,75,Control_replicate_4,Control
"COVID-19 Gut",SRR13760961,SAMN18011803,77,Control_replicate_5,Control
"COVID-19 Gut",SRR13760960,SAMN18011804,88,Control_replicate_6,Control
"COVID-19 Gut",SRR13760950,SAMN18011813,A31,Control_replicate_15,Control
"COVID-19 Gut",SRR13760949,SAMN18011814,AC11,Control_replicate_16,Control
"COVID-19 Gut",SRR13760948,SAMN18011815,AC14,Control_replicate_17,Control
"COVID-19 Gut",SRR13760947,SAMN18011816,AC18,Control_replicate_18,Control
"COVID-19 Gut",SRR13760946,SAMN18011817,AC39,Control_replicate_19,Control
"COVID-19 Gut",SRR13760945,SAMN18011818,AC52,Control_replicate_20,Control
"COVID-19 Gut",SRR13760944,SAMN18011819,AC9,Control_replicate_21,Control
"COVID-19 Gut",SRR13760943,SAMN18011820,C1,Control_replicate_22,Control
"COVID-19 Gut",SRR13760942,SAMN18011821,C10,Control_replicate_23,Control
"COVID-19 Gut",SRR13760941,SAMN18011822,C34,Control_replicate_24,Control
"COVID-19 Gut",SRR13760939,SAMN18011823,C35,Control_replicate_25,Control
"COVID-19 Gut",SRR13760938,SAMN18011824,C39,Control_replicate_26,Control
"COVID-19 Gut",SRR13760937,SAMN18011825,C4,Control_replicate_27,Control
"COVID-19 Gut",SRR13760936,SAMN18011826,C41,Control_replicate_28,Control
"COVID-19 Gut",SRR13760935,SAMN18011827,C43,Control_replicate_29,Control
"COVID-19 Gut",SRR13760934,SAMN18011828,C44,Control_replicate_30,Control
"COVID-19 Gut",SRR13760929,SAMN18011779,NCP11_1,Acute_replicate_7,Acute
"COVID-19 Gut",SRR13760918,SAMN18011780,NCP12_1,Acute_replicate_8,Acute
"COVID-19 Gut",SRR13760907,SAMN18011781,NCP19_1,Acute_replicate_9,Acute
"COVID-19 Gut",SRR13760940,SAMN18011778,NCP1_1,Acute_replicate_6,Acute
"COVID-19 Gut",SRR13761002,SAMN18011782,NCP2_1,Acute_replicate_10,Acute
"COVID-19 Gut",SRR13760982,SAMN18011784,NCP32_3,Acute_replicate_12,Acute
"COVID-19 Gut",SRR13760981,SAMN18011785,NCP33_1,Acute_replicate_13,Acute
"COVID-19 Gut",SRR13760980,SAMN18011786,NCP34_1,Acute_replicate_14,Acute
"COVID-19 Gut",SRR13760979,SAMN18011787,NCP38_1,Acute_replicate_15,Acute
"COVID-19 Gut",SRR13760989,SAMN18011783,NCP3_1,Acute_replicate_11,Acute
"COVID-19 Gut",SRR13760978,SAMN18011788,NCP41_1,Acute_replicate_16,Acute
"COVID-19 Gut",SRR13760977,SAMN18011789,NCP44_1,Acute_replicate_17,Acute
"COVID-19 Gut",SRR13760976,SAMN18011790,NCP46_1,Acute_replicate_18,Acute
"COVID-19 Gut",SRR13760975,SAMN18011791,NCP50_1,Acute_replicate_19,Acute
"COVID-19 Gut",SRR13760974,SAMN18011792,NCP52_1,Acute_replicate_20,Acute
"COVID-19 Gut",SRR13760972,SAMN18011793,NCP54_1,Acute_replicate_21,Acute
"COVID-19 Gut",SRR13760971,SAMN18011794,NCP56_1,Acute_replicate_22,Acute
"COVID-19 Gut",SRR13760970,SAMN18011795,NCP58_1,Acute_replicate_23,Acute
"COVID-19 Gut",SRR13760969,SAMN18011796,NCP6_1,Acute_replicate_24,Acute
"COVID-19 Gut",SRR13760913,SAMN18011847,NCP6_3,Convalescence_replicate_19,Convalescence
"COVID-19 Gut",SRR13760968,SAMN18011797,NCP8_1,Acute_replicate_25,Acute
"COVID-19 Gut",SRR13760967,SAMN18011798,NCP9_1,Acute_replicate_26,Acute
"COVID-19 Gut",SRR13760912,SAMN18011848,NCP9_4,Convalescence_replicate_20,Convalescence
"COVID-19 Gut",SRR13760932,SAMN18011830,NCP_11_4,Convalescence_replicate_2,Convalescence
"COVID-19 Gut",SRR13760910,SAMN18011850,NCP_11_F,Postconvalescence_replicate_2,Postconvalescence
"COVID-19 Gut",SRR13760909,SAMN18011851,NCP_12_F,Postconvalescence_replicate_3,Postconvalescence
"COVID-19 Gut",SRR13760931,SAMN18011831,NCP_19_6,Convalescence_replicate_3,Convalescence
"COVID-19 Gut",SRR13760908,SAMN18011852,NCP_19_F,Postconvalescence_replicate_4,Postconvalescence
"COVID-19 Gut",SRR13760933,SAMN18011829,NCP_1_2,Convalescence_replicate_1,Convalescence
"COVID-19 Gut",SRR13760911,SAMN18011849,NCP_1_F,Postconvalescence_replicate_1,Postconvalescence
"COVID-19 Gut",SRR13761012,SAMN18011853,NCP_2_F,Postconvalescence_replicate_5,Postconvalescence
"COVID-19 Gut",SRR13760928,SAMN18011833,NCP_30_3,Convalescence_replicate_5,Convalescence
"COVID-19 Gut",SRR13761010,SAMN18011855,NCP_30_F,Postconvalescence_replicate_7,Postconvalescence
"COVID-19 Gut",SRR13761009,SAMN18011856,NCP_32_F,Postconvalescence_replicate_8,Postconvalescence
"COVID-19 Gut",SRR13761008,SAMN18011857,NCP_33_F,Postconvalescence_replicate_9,Postconvalescence
"COVID-19 Gut",SRR13760927,SAMN18011834,NCP_34_4,Convalescence_replicate_6,Convalescence
"COVID-19 Gut",SRR13761007,SAMN18011858,NCP_34_F,Postconvalescence_replicate_10,Postconvalescence
"COVID-19 Gut",SRR13760991,SAMN18011773,NCP_35_3,Acute_replicate_1,Acute
"COVID-19 Gut",SRR13761006,SAMN18011859,NCP_35_F,Postconvalescence_replicate_11,Postconvalescence
"COVID-19 Gut",SRR13760926,SAMN18011835,NCP_38_5,Convalescence_replicate_7,Convalescence
"COVID-19 Gut",SRR13761005,SAMN18011860,NCP_38_F,Postconvalescence_replicate_12,Postconvalescence
"COVID-19 Gut",SRR13760930,SAMN18011832,NCP_3_4,Convalescence_replicate_4,Convalescence
"COVID-19 Gut",SRR13761011,SAMN18011854,NCP_3_F,Postconvalescence_replicate_6,Postconvalescence
"COVID-19 Gut",SRR13761004,SAMN18011861,NCP_41_F,Postconvalescence_replicate_13,Postconvalescence
"COVID-19 Gut",SRR13760925,SAMN18011836,NCP_42_2,Convalescence_replicate_8,Convalescence
"COVID-19 Gut",SRR13761003,SAMN18011862,NCP_42_F,Postconvalescence_replicate_14,Postconvalescence
"COVID-19 Gut",SRR13760924,SAMN18011837,NCP_44_4,Convalescence_replicate_9,Convalescence
"COVID-19 Gut",SRR13761001,SAMN18011863,NCP_44_F,Postconvalescence_replicate_15,Postconvalescence
"COVID-19 Gut",SRR13760923,SAMN18011838,NCP_46_5,Convalescence_replicate_10,Convalescence
"COVID-19 Gut",SRR13761000,SAMN18011864,NCP_46_F,Postconvalescence_replicate_16,Postconvalescence
"COVID-19 Gut",SRR13760922,SAMN18011839,NCP_50_4,Convalescence_replicate_11,Convalescence
"COVID-19 Gut",SRR13760999,SAMN18011865,NCP_50_F,Postconvalescence_replicate_17,Postconvalescence
"COVID-19 Gut",SRR13760921,SAMN18011840,NCP_52_4,Convalescence_replicate_12,Convalescence
"COVID-19 Gut",SRR13760998,SAMN18011866,NCP_52_F,Postconvalescence_replicate_18,Postconvalescence
"COVID-19 Gut",SRR13760997,SAMN18011867,NCP_54_F,Postconvalescence_replicate_19,Postconvalescence
"COVID-19 Gut",SRR13760920,SAMN18011841,NCP_56_2,Convalescence_replicate_13,Convalescence
"COVID-19 Gut",SRR13760996,SAMN18011868,NCP_56_F,Postconvalescence_replicate_20,Postconvalescence
"COVID-19 Gut",SRR13760995,SAMN18011869,NCP_58_F,Postconvalescence_replicate_21,Postconvalescence
"COVID-19 Gut",SRR13760919,SAMN18011842,NCP_59_1,Convalescence_replicate_14,Convalescence
"COVID-19 Gut",SRR13760994,SAMN18011870,NCP_59_F,Postconvalescence_replicate_22,Postconvalescence
"COVID-19 Gut",SRR13760917,SAMN18011843,NCP_60_1,Convalescence_replicate_15,Convalescence
"COVID-19 Gut",SRR13760992,SAMN18011872,NCP_60_F,Postconvalescence_replicate_24,Postconvalescence
"COVID-19 Gut",SRR13760916,SAMN18011844,NCP_61_1,Convalescence_replicate_16,Convalescence
"COVID-19 Gut",SRR13760988,SAMN18011873,NCP_61_F,Postconvalescence_replicate_25,Postconvalescence
"COVID-19 Gut",SRR13760990,SAMN18011774,NCP_64_1,Acute_replicate_2,Acute
"COVID-19 Gut",SRR13760987,SAMN18011874,NCP_64_F,Postconvalescence_replicate_26,Postconvalescence
"COVID-19 Gut",SRR13760973,SAMN18011775,NCP_66_1,Acute_replicate_3,Acute
"COVID-19 Gut",SRR13760986,SAMN18011875,NCP_66_F,Postconvalescence_replicate_27,Postconvalescence
"COVID-19 Gut",SRR13760993,SAMN18011871,NCP_6_F,Postconvalescence_replicate_23,Postconvalescence
"COVID-19 Gut",SRR13760962,SAMN18011776,NCP_70_1,Acute_replicate_4,Acute
"COVID-19 Gut",SRR13760951,SAMN18011777,NCP_72_1,Acute_replicate_5,Acute
"COVID-19 Gut",SRR13760915,SAMN18011845,NCP_72_3,Convalescence_replicate_17,Convalescence
"COVID-19 Gut",SRR13760985,SAMN18011876,NCP_72_F,Postconvalescence_replicate_28,Postconvalescence
"COVID-19 Gut",SRR13760914,SAMN18011846,NCP_8_4,Convalescence_replicate_18,Convalescence
"COVID-19 Gut",SRR13760984,SAMN18011877,NCP_8_F,Postconvalescence_replicate_29,Postconvalescence
"COVID-19 Gut",SRR13760983,SAMN18011878,NCP_9_F,Postconvalescence_replicate_30,Postconvalescence
