"study name (a)","database (b)","type (c)","sample name (d)","sample description (e)","ID (f)","available reads (g)","used reads (h)","cleaned reads (i)","non-rRNA reads (j)","average length (k)","subsampled reads (l)","coding reads (m)","average length (n)","subsampled reads (o)","average protein length (p)","subsampled proteins (q)"
BalticSea_Sediment,SRA,MG,10cm,DNA,ERX509195,106080777,1135003,588019,,93.036,537,462397,95.759,522,31.915,1567
BalticSea_Sediment,SRA,MG,11m,"63E-6-B (11.35 mbsf)",SRX1537899,3602897,3602897,3121041,,104.843,477,2253663,114.612,436,38.197,1309
BalticSea_Sediment,SRA,MG,41m,"59E-13-B (40.95 mbsf)",SRX1537877,477466,477466,263536,,91.835,544,174843,101.27,494,33.74,1482
BalticSea_Sediment,SRA,MG,47m,"63E-24 (47.35 mbsf)",SRX1537900,2038367,2038367,1592300,,102.991,485,1129768,112.592,444,37.521,1333
BalticSea_Sediment,SRA,MG,67m,"59E-21 (67.50 mbsf)",SRX1537878,1068860,1068860,768311,,94.357,530,497670,106.012,472,35.329,1415
BalticSea_Sediment,SRA,MG,81m,"59E-25 (80.55 mbsf)",SRX1537882,581599,581599,347916,,90.082,555,213232,102.382,488,34.115,1466
BalticSea_Sediment,SRA,MT,10cm,cDNA,ERX509194,92143054,833194,562783,134756,98.634,507,100781,95.69,523,31.892,1568
BalticSea_Sediment,SRA,MT,12m,63E-12mbsf,SRX2869655,17879278,506798,349876,338511,231.261,216,330540,209.362,239,69.714,717
BalticSea_Sediment,SRA,MT,15m,59E-15mbsf,SRX2869654,16934437,1159997,268573,265605,221.69,226,257046,203.626,246,67.8,737
BalticSea_Sediment,SRA,MT,42m,59E-42mbsf,SRX2869653,15420671,521797,329677,326196,227.189,220,317036,206.302,242,68.698,728
Bison_Pool,IMG,MG,N,"Bison Pool #1 050719N  BXBC",2009439003,40864,40864,,,594.678,84,26497,909.627,55,199.13,251
Bison_Pool,IMG,MG,S,"Bison Pool #4 050719S  BXAW",2009439000,51132,51132,,,550.79,91,36019,786.123,64,184.346,271
Bison_Pool,IMG,MG,R,"Bison Pool #3 050719R  BXAS",2010170001,43764,43764,,,583.709,86,33045,784.925,64,195.484,256
Bison_Pool,IMG,MG,Q,"Bison Pool #2 050719Q  BXBH",2010170002,84577,84577,,,573.579,87,68101,778.855,64,191.805,261
Bison_Pool,IMG,MG,P,"Bison Pool #5 050719P  FGGH",2010170003,74755,74755,,,566.766,88,60103,765.607,65,189.4,264
Diffuse_Vents,SRA,MG,Ginger_Castle,"FS848 (Ginger Castle, Von Damm)",ERX947644,4000000,768006,689616,,107.513,465,617995,103.382,484,34.456,1451
Diffuse_Vents,SRA,MG,Shrimp_Gulley_2,"FS856 (Shrimp Gulley 2, Piccard)",ERX947703,4000000,773268,684107,,107.518,465,624848,103.384,484,34.456,1451
Diffuse_Vents,SRA,MG,Marker_33,FS917_Marker33_DNA,ERX2080779,26174287,602031,557770,,149.186,335,519588,142.718,350,47.563,1051
Diffuse_Vents,SRA,MG,Marker_113,FS915_Marker113_DNA,ERX2080783,29169063,609089,565146,,148.956,336,529763,142.796,350,47.591,1051
Diffuse_Vents,SRA,MG,Anemone,FS914_Anemone_DNA,ERX2080781,20038786,605857,562454,,148.925,336,534042,142.978,350,47.652,1049
Diffuse_Vents,SRA,MG,Plume,AnemonePlume_2015_DNA,ERX2080787,25971522,610329,567622,,148.839,336,523497,142.301,351,47.426,1054
Diffuse_Vents,SRA,MG,Background,Background_1500m_2015_DNA,ERX2080789,20534909,620412,553293,,149.333,335,486566,142.586,351,47.519,1052
Diffuse_Vents,SRA,MT,Marker_33,FS917_Marker33_RNA,ERX2080780,13407821,1284483,309882,309867,149.781,334,216106,140.557,356,46.841,1067
Diffuse_Vents,SRA,MT,Marker_113,FS915_Marker113_RNA,ERX2080784,11178843,1622875,191429,191417,149.652,334,136814,139.964,357,46.641,1072
Diffuse_Vents,SRA,MT,Anemone,FS914_Anemone_RNA,ERX2080782,11933325,1363375,194397,194376,149.202,335,141234,141.403,354,47.123,1061
Diffuse_Vents,SRA,MT,Plume,AnemonePlume_2015_RNA,ERX2080788,27752200,1473177,483305,483303,149.195,335,329614,140.969,355,46.982,1064
Diffuse_Vents,SRA,MT,Background,Background_1500m_2015_RNA,ERX2080790,22798284,1317852,599215,599211,150.081,333,416207,140.967,355,46.981,1064
ETNP_OMZ,SRA,MG,30m,"Station 6 Metagenome 30m",SRX648440,1745330,524606,489505,,202.265,247,464477,196.592,254,65.494,763
ETNP_OMZ,SRA,MG,85m,"Station 6 Metagenome 85m",SRX648442,2688430,546941,509334,,189.118,264,473404,186.688,268,62.196,804
ETNP_OMZ,SRA,MG,100m,"Station 6 Metagenome 100m",SRX648443,1685782,537077,498784,,194.652,257,468758,190.588,262,63.494,787
ETNP_OMZ,SRA,MG,125m,"Station 6 Metagenome 125m",SRX648444,1123559,526315,488167,,198.531,252,461383,193.152,259,64.348,777
ETNP_OMZ,SRA,MG,300m,"Station 6 Metagenome 300m",SRX648445,5479974,560558,518982,,185.616,269,471063,185.24,270,61.712,810
ETNP_OMZ,SRA,MT,30m,30m_0.2-1.6micron,SRX854074,1521531,580866,355973,61260,120.775,414,246215,149.974,333,49.901,1002
ETNP_OMZ,SRA,MT,85m,85m_0.2-1.6micron,SRX854078,2058098,600779,369120,70610,114.368,437,249956,150.14,333,49.95,1001
ETNP_OMZ,SRA,MT,100m,100m_0.2-1.6micron,SRX854081,1196535,562210,311835,39508,151.144,331,230201,161.282,310,53.655,932
ETNP_OMZ,SRA,MT,125m,125m_0.2-1.6micron,SRX854083,2063837,583888,368812,62086,121.101,413,253683,150.165,333,49.957,1001
ETNP_OMZ,SRA,MT,300m,300m_0.2-1.6micron,SRX854084,845033,584406,350488,63080,149.634,334,253795,158.998,314,52.897,945
ETSP_OMZ,SRA,MG,15m,"Moomz1 15m DNA",SRX080962,556375,556375,442917,,274.763,182,432386,238.742,209,79.395,630
ETSP_OMZ,SRA,MG,50m,"MOOMZ1 50m DNA",SRX025906,393403,393403,278541,,270.221,185,279309,244.115,205,81.298,615
ETSP_OMZ,SRA,MG,65m,"Moomz1 65m DNA",SRX080938,419712,419712,328247,,272.531,183,329198,244.17,205,81.298,615
ETSP_OMZ,SRA,MG,85m,"MOOMZ1 85m DNA",SRX025908,595662,595662,506854,,270.226,185,507750,243.947,205,81.231,616
ETSP_OMZ,SRA,MG,110m,"MOOMZ1 110m DNA",SRX025910,403227,403227,319679,,270.901,185,317295,243.133,206,80.923,618
ETSP_OMZ,SRA,MG,200m,"MOOMZ1 200m DNA",SRX025912,516426,516426,427170,,268.209,186,413414,241.784,207,80.519,621
ETSP_OMZ,SRA,MG,500m,"Moomz1 500m DNA",SRX080950,533824,533824,456968,,268.957,186,455673,243.807,205,81.154,616
ETSP_OMZ,SRA,MG,800m,"Moomz1 800m DNA",SRX080951,201806,201806,121370,,268.65,186,120177,242.068,207,80.53,621
Guerrero_Negro,IMG,MG,01,"0-1 mm depth into microbial mat",2004247000,13249,13249,,,498.595,100,13264,493.17,101,165.572,302
Guerrero_Negro,IMG,MG,02,"1-2mm depth into microbial mat",2004247001,12064,12064,,,478.35,105,12094,472.625,106,158.843,315
Guerrero_Negro,IMG,MG,03,"2-3 mm depth into microbial mat",2004247002,13260,13260,,,488.732,102,13303,482.466,104,162.295,308
Guerrero_Negro,IMG,MG,04,"3-4 mm depth into microbial mat",2004247003,13240,13240,,,487.602,103,13290,481.039,104,161.937,309
Guerrero_Negro,IMG,MG,05,"4-5 mm depth into microbial mat",2004247004,15984,15984,,,487.874,102,16008,482.293,104,162.036,309
Guerrero_Negro,IMG,MG,06,"5-6 mm depth into microbial mat",2004247005,13357,13357,,,501.993,100,13391,495.702,101,166.724,300
Guerrero_Negro,IMG,MG,07,"6-10 mm depth into microbial mat",2004247006,15930,15930,,,493.783,101,15981,487.434,103,163.99,305
Guerrero_Negro,IMG,MG,08,"10-22 mm depth into microbial mat",2004247007,13112,13112,,,484.61,103,13146,478.03,105,160.931,311
Guerrero_Negro,IMG,MG,09,"22-34 mm depth into microbial mat",2004247008,13714,13714,,,492.96,101,13752,486.507,103,163.718,305
Guerrero_Negro,IMG,MG,10,"34-49 mm depth into microbial mat",2004247009,12012,12012,,,478.393,105,12039,472.056,106,158.857,315
HOT_ALOHA,SRA,MG,25m,H179_25m_gDNA,SRX002155,385193,381208,342906,,109.955,455,300544,104.608,478,34.828,1436
HOT_ALOHA,SRA,MG,75m,H179_75m_gDNA,SRX000174,414323,409190,360183,,111.656,448,317212,105.715,473,35.182,1421
HOT_ALOHA,SRA,MG,125m,H179_125m_gDNA,SRX002157,348394,348394,313741,,111.041,450,275567,104.655,478,34.776,1438
HOT_ALOHA,SRA,MG,500m,H179_500m_gDNA,SRX002159,393581,387617,328458,,108.606,460,304041,103.844,481,34.554,1447
HOT_ALOHA,SRA,MT,25m,H179_25m_cDNA,SRX002156,87291,87291,70993,39654,110.898,451,53387,104.811,477,34.748,1439
HOT_ALOHA,SRA,MT,75m,H179_75m_cDNA,SRX000175,128234,126874,107013,46368,112.792,443,76734,108.02,463,35.867,1394
