rank,group,ntaxa,parent,nH2O,ZC,nC
species,Luteitalea pratensis,1,,-0.738798,-0.12627,4.80685
species,Candidatus Marinimicrobia bacterium,1,,-0.728998,-0.218429,5.059754
genus,Azorhizobium,5,Xanthobacteraceae,-0.708794,-0.151724,4.787103
genus,Cellvibrio,14,Cellvibrionaceae,-0.75608,-0.150112,4.939489
genus,Cellulomonas,73,Cellulomonadaceae,-0.699484,-0.119598,4.68437
genus,Dictyoglomus,4,Dictyoglomaceae,-0.740559,-0.239967,5.227383
genus,Methylophilus,17,Methylophilaceae,-0.739812,-0.160714,4.935
genus,Syntrophotalea,4,Syntrophotaleaceae,-0.730826,-0.156166,4.926942
genus,Phenylobacterium,16,Caulobacteraceae,-0.727874,-0.132698,4.781952
genus,Shewanella,139,Shewanellaceae,-0.739891,-0.160259,4.944478
genus,Myxococcus,30,Myxococcaceae,-0.727507,-0.126524,4.807206
genus,Corallococcus,31,Myxococcaceae,-0.72743,-0.128427,4.805616
genus,Stigmatella,3,Archangiaceae,-0.732564,-0.129822,4.818825
genus,Cystobacter,3,Archangiaceae,-0.741488,-0.125825,4.839513
genus,Archangium,4,Archangiaceae,-0.733787,-0.127313,4.826349
genus,Chondromyces,3,Polyangiaceae,-0.71901,-0.112861,4.733867
genus,Nannocystis,1,Nannocystaceae,-0.737296,-0.10882,4.745922
genus,Polyangium,5,Polyangiaceae,-0.720219,-0.120426,4.754963
genus,Vitreoscilla,5,Neisseriaceae,-0.752081,-0.150916,4.9158
genus,Herpetosiphon,5,Herpetosiphonaceae,-0.759668,-0.150027,4.933867
genus,Lysobacter,64,Xanthomonadaceae,-0.746811,-0.121125,4.813478
genus,Simonsiella,1,Neisseriaceae,-0.754203,-0.154603,4.978491
genus,Caulobacter,52,Caulobacteraceae,-0.724453,-0.13702,4.783302
genus,Hyphomicrobium,16,Hyphomicrobiaceae,-0.720658,-0.14511,4.831504
genus,Hyphomonas,21,Hyphomonadaceae,-0.73769,-0.134595,4.827411
genus,Stella,3,Acetobacteraceae,-0.726703,-0.139426,4.781495
genus,Ancylobacter,7,Xanthobacteraceae,-0.716328,-0.14971,4.796441
genus,Polaribacter,43,Flavobacteriaceae,-0.759199,-0.192681,5.114626
genus,Flectobacillus,2,Cytophagaceae,-0.776375,-0.180644,5.082211
genus,Cyclobacterium,12,Cyclobacteriaceae,-0.795181,-0.167814,5.074986
genus,Runella,10,Cytophagaceae,-0.783625,-0.170506,5.0523
genus,Spirosoma,30,Cytophagaceae,-0.774053,-0.156248,4.996326
genus,Gemmata,6,Gemmataceae,-0.739747,-0.136875,4.840541
genus,Rubinisphaera,3,Planctomycetaceae,-0.771178,-0.122841,4.926349
genus,Planctopirus,4,Planctomycetaceae,-0.747334,-0.140477,4.905007
genus,Gimesia,8,Planctomycetaceae,-0.76493,-0.141172,4.961062
genus,Pirellula,2,Pirellulaceae,-0.743395,-0.134789,4.886477
genus,Isosphaera,1,Isosphaeraceae,-0.748356,-0.124957,4.862731
genus,Methylocystis,20,Methylocystaceae,-0.733092,-0.138789,4.835031
genus,Borrelia,15,Borreliaceae,-0.717506,-0.222319,5.180879
genus,Borreliella,16,Borreliaceae,-0.726148,-0.229081,5.222403
genus,Sediminispirochaeta,3,Spirochaetaceae,-0.742184,-0.17369,4.991348
genus,Spirochaeta,5,Spirochaetaceae,-0.758709,-0.165282,5.017133
genus,Treponema,38,Spirochaetaceae,-0.744718,-0.178275,5.013498
genus,Brachyspira,13,Brachyspiraceae,-0.753341,-0.194977,5.152039
genus,Leptospira,70,Leptospiraceae,-0.764122,-0.194459,5.113454
genus,Leptospirillum,6,Nitrospiraceae,-0.74642,-0.164112,4.979585
genus,Leptonema,1,Leptospiraceae,-0.762963,-0.154368,5.006481
genus,Magnetospirillum,19,Rhodospirillaceae,-0.713068,-0.142242,4.80414
genus,Novispirillum,1,Rhodospirillaceae,-0.707134,-0.146287,4.794964
genus,Aquaspirillum,2,Chromobacteriaceae,-0.742814,-0.144111,4.88587
genus,Azospirillum,45,Azospirillaceae,-0.712222,-0.136871,4.778726
genus,Campylobacter,228,Campylobacteraceae,-0.73514,-0.211182,5.121811
genus,Helicobacter,79,Helicobacteraceae,-0.748872,-0.193297,5.082226
genus,Achromobacter,59,Alcaligenaceae,-0.72984,-0.140103,4.809997
genus,Alteromonas,58,Alteromonadaceae,-0.751528,-0.150948,4.943302
genus,Pseudoalteromonas,308,Pseudoalteromonadaceae,-0.748159,-0.162223,4.978325
genus,Brucella,83,Brucellaceae,-0.725194,-0.151968,4.861137
genus,Flavobacterium,335,Flavobacteriaceae,-0.766511,-0.187378,5.093091
genus,Elizabethkingia,14,Weeksellaceae,-0.78225,-0.183241,5.121995
genus,Planomicrobium,17,Planococcaceae,-0.740007,-0.181989,5.0131
genus,Chryseobacterium,186,Weeksellaceae,-0.779306,-0.181206,5.110224
genus,Empedobacter,6,Weeksellaceae,-0.778323,-0.185951,5.141689
genus,Terrimonas,2,Chitinophagaceae,-0.783099,-0.17047,5.055867
genus,Psychroflexus,16,Flavobacteriaceae,-0.77515,-0.179546,5.114946
