"dataset","description","tags","n1","n2","Zc.mean1","Zc.mean2","Zc.diff","Zc.CLES","Zc.p.value","nH2O.mean1","nH2O.mean2","nH2O.diff","nH2O.CLES","nH2O.p.value"
WTK+08,"T / N",NT,57,70,-0.1248,-0.1071,0.0177,55.4637,0.2906,-0.7881,-0.7831,0.005,51.5789,0.7619
AKP+10_CRC,"CRC nuclear matrix C / A",,101,28,-0.0819,-0.0937,-0.0118,47.3833,0.6745,-0.7522,-0.7613,-0.0091,48.4441,0.8037
AKP+10_CIN,"CIN nuclear matrix C / A",,87,81,-0.0767,-0.1077,-0.031,40.4995,0.0337,-0.756,-0.7515,0.0044,47.5096,0.5786
AKP+10_MIN,"MIN nuclear matrix C / A",,157,76,-0.0802,-0.0821,-0.0019,51.5169,0.7083,-0.7597,-0.7725,-0.0128,45.6504,0.2824
JKMF10,"serum biomarkers up / down",,43,56,-0.1192,-0.1264,-0.0072,45.8472,0.4824,-0.8052,-0.7499,0.0554,67.3173,0.0033
XZC+10_I,"stage I / normal",NT,48,166,-0.1464,-0.1392,0.0072,52.0331,0.6681,-0.7527,-0.7292,0.0235,56.0115,0.2054
XZC+10_II,"stage II / normal",NT,77,321,-0.152,-0.1303,0.0217,60.2055,0.0054,-0.759,-0.744,0.015,52.7896,0.4469
ZYS+10,"microdissected T / N",NT,60,57,-0.1502,-0.1308,0.0194,58.3041,0.1221,-0.7457,-0.7249,0.0208,57.5146,0.1619
BPV+11_adenoma,"adenoma / normal",AD;NT,71,92,-0.1134,-0.1361,-0.0228,40.3858,0.0357,-0.7613,-0.7584,0.0029,48.8518,0.8031
BPV+11_stage.I,"stage I / normal",NT,109,72,-0.1266,-0.1337,-0.0072,47.0438,0.5022,-0.7698,-0.7641,0.0057,50.344,0.9388
BPV+11_stage.II,"stage II / normal",NT,164,140,-0.1455,-0.1145,0.0311,61.9382,3e-04,-0.7603,-0.7533,0.007,51.4634,0.6605
BPV+11_stage.III,"stage III / normal",NT,63,131,-0.14,-0.1148,0.0251,61.6382,0.0088,-0.7644,-0.7694,-0.0049,47.1828,0.5264
BPV+11_stage.IV,"stage IV / normal",NT,42,26,-0.1071,-0.1173,-0.0102,44.1392,0.4266,-0.7487,-0.7434,0.0053,51.6484,0.8264
JCF+11,"T / N",NT,72,45,-0.1561,-0.1238,0.0323,62.5926,0.0224,-0.7385,-0.7417,-0.0031,48.5494,0.7945
MRK+11_AD.NC,"adenoma / normal",AD;NT,334,288,-0.1273,-0.1158,0.0116,53.9307,0.0906,-0.7872,-0.7295,0.0577,68.3674,0
MRK+11_AC.AD,"adenocarcinoma / adenoma",,373,257,-0.1404,-0.1066,0.0338,65.0463,0,-0.7578,-0.7658,-0.0079,46.7938,0.1712
MRK+11_AC.NC,"adenocarcinoma / normal",NT,350,232,-0.1333,-0.0992,0.0341,63.5148,0,-0.7807,-0.7448,0.0359,61.0579,0
KKL+12,"poor / good prognosis",,75,61,-0.128,-0.1018,0.0263,63.4536,0.0071,-0.7516,-0.7489,0.0027,49.2896,0.8886
KYK+12,"MSS-type T / N",NT,73,175,-0.1346,-0.1108,0.0238,60.6027,0.0085,-0.7652,-0.7425,0.0227,56.3444,0.1154
WOD+12,"LCM FFPE T / adjacent N",NT,79,677,-0.1396,-0.1235,0.0162,54.3799,0.2022,-0.7745,-0.7469,0.0277,58.2353,0.0165
YLZ+12,"CM T / N",,55,68,-0.1205,-0.0941,0.0265,62.8075,0.0149,-0.8087,-0.8031,0.0057,52.3529,0.6563
MCZ+13,"stromal T / N",NT,33,37,-0.1473,-0.1003,0.047,73.792,5e-04,-0.7097,-0.7427,-0.0331,42.2604,0.2706
KWA+14,"chromatin-binding C / A",,51,55,-0.0999,-0.1388,-0.039,29.0909,2e-04,-0.7297,-0.7404,-0.0107,47.7005,0.6857
UNS+14,"epithelial adenoma / normal",AD;NT,58,65,-0.1325,-0.1319,6e-04,48.8859,0.8335,-0.7827,-0.7521,0.0306,60.504,0.0451
WKP+14,"tissue secretome T / N",,44,210,-0.1286,-0.1227,0.0059,52.7273,0.5703,-0.8004,-0.7436,0.0568,68.3225,1e-04
STK+15,"membrane enriched T / N",NT,113,66,-0.1491,-0.1437,0.0055,52.0783,0.6441,-0.7703,-0.7448,0.0255,55.4438,0.2254
WDO+15_A.N,"LCM FFPE adenoma / normal",AD;NT,1061,1254,-0.1355,-0.1057,0.0298,64.3802,0,-0.7674,-0.7429,0.0245,58.4091,0
WDO+15_C.A,"LCM FFPE carcinoma / adenoma",,772,1007,-0.1188,-0.1314,-0.0126,42.2823,0,-0.7478,-0.7519,-0.0041,49.2174,0.5712
WDO+15_C.N,"LCM FFPE T / adjacent N",NT,879,1281,-0.131,-0.1165,0.0145,56.7902,0,-0.7718,-0.747,0.0248,58.3549,0
LPL+16_ACP,"stromal AD / NC",AD;NT,123,75,-0.1032,-0.1425,-0.0392,31.8482,0,-0.7546,-0.7181,0.0365,59.8266,0.0205
LPL+16_CIS,"stromal CIS / NC",NT,125,60,-0.1209,-0.1279,-0.007,45.9867,0.3781,-0.737,-0.7376,-5e-04,51.9467,0.6696
LPL+16_ICC,"stromal ICC / NC",NT,99,75,-0.1221,-0.1212,9e-04,47.4478,0.5657,-0.7278,-0.7479,-0.0201,48.3906,0.7176
LXM+16,"biopsy T / N",NT,191,178,-0.1231,-0.1177,0.0054,50.0059,0.9988,-0.7669,-0.7376,0.0293,57.3298,0.0149
PHL+16_AD,"AD / N",AD;NT,113,86,-0.1284,-0.1174,0.011,53.7353,0.3677,-0.7605,-0.7236,0.0369,59.9609,0.0162
PHL+16_CIS,"CIS / N",NT,169,138,-0.1358,-0.1166,0.0192,59.4074,0.0046,-0.7443,-0.7431,0.0013,48.9795,0.7594
PHL+16_ICC,"ICC / N",NT,129,100,-0.1383,-0.1225,0.0159,57.4109,0.0547,-0.7491,-0.755,-0.0059,46.4341,0.3554
