Name,Run,LibraryName,BioSample,SampleName,Subject,Site,Treatment
"Body Sites",SRR16023258,NegPCR1_100_L001_R1,SAMN21555600,NegPCR1,C,Control,Control
"Body Sites",SRR16023297,NegPCR2_87_L001_R1,SAMN21555602,NegPCR2,C,Control,Control
"Body Sites",SRR16023295,Negeth_124_L001_R1,SAMN21555593,Negeth,C,Control,Ethanol
"Body Sites",SRR16023290,Negfa_14_L001_R1,SAMN21555596,Negfa,C,Control,Formaldehyde
"Body Sites",SRR16023345,Negnt_92_L001_R1,SAMN21555597,Negnt,C,Control,No_treatment
"Body Sites",SRR16023341,Negpso_120_L001_R1,SAMN21555598,Negpso,C,Control,Psoralen
"Body Sites",SRR16023285,Negt_25_L001_R1,SAMN21555595,Negt,C,Control,Heat
"Body Sites",SRR16023246,Negtriz_105_L001_R1,SAMN21555594,Negtriz,C,Control,Trizol
"Body Sites",SRR16023320,PosPCR1_84_L001_R1,SAMN21555599,PosPCR1,C,Control,Control
"Body Sites",SRR16023284,PosPCR2_40_L001_R1,SAMN21555601,PosPCR2,C,Control,Control
"Body Sites",SRR16023346,S1AF_77_L001_R1,SAMN21555527,S1AF,A,feces,Ethanol
"Body Sites",SRR16023334,S1AN_64_L001_R1,SAMN21555525,S1AN,A,"Nasal cavity",Ethanol
"Body Sites",SRR16023259,S1AO_68_L001_R1,SAMN21555521,S1AO,A,"Oral cavity",Ethanol
"Body Sites",SRR16023267,S1AS_101_L001_R1,SAMN21555523,S1AS,A,"Skin of forearm",Ethanol
"Body Sites",SRR16023291,S1BF_31_L001_R1,SAMN21555551,S1BF,B,feces,Trizol
"Body Sites",SRR16023249,S1BN_32_L001_R1,SAMN21555549,S1BN,B,"Nasal cavity",Trizol
"Body Sites",SRR16023238,S1BO_9_L001_R1,SAMN21555545,S1BO,B,"Oral cavity",Trizol
"Body Sites",SRR16023269,S1BS_116_L001_R1,SAMN21555547,S1BS,B,"Skin of forearm",Trizol
"Body Sites",SRR16023348,S1CF_3_L001_R1,SAMN21555575,S1CF,C,feces,Heat
"Body Sites",SRR16023280,S1CN_19_L001_R1,SAMN21555573,S1CN,C,"Nasal cavity",Heat
"Body Sites",SRR16023254,S1CO_42_L001_R1,SAMN21555569,S1CO,C,"Oral cavity",Heat
