seed,LC,6H,12H,1D,2D,3D,5D,7D,14D,1M,2M
1,2.227,3.38,2.722,2.337,2.42,2.227,2.529,2.255,1.98,1.376,0.004
2,1.569,2.2,1.871,1.624,1.651,1.541,1.733,1.569,1.376,1.129,-0.271
3,2.227,3.325,2.722,2.31,2.392,2.2,2.529,2.227,1.953,1.514,0.416
4,1.514,2.42,1.898,1.596,1.678,1.514,1.761,1.541,1.322,0.773,-0.325
5,1.871,2.722,2.255,1.953,2.008,1.871,2.118,1.898,1.678,1.184,-0.051
6,1.953,2.969,2.42,2.035,2.118,1.925,2.227,1.953,1.706,1.157,-0.792
7,2.667,3.875,3.188,2.776,2.859,2.639,2.996,2.694,2.365,1.843,-0.353
8,1.816,2.667,2.227,1.898,1.953,1.788,2.063,1.816,1.596,1.157,-0.6
9,2.118,3.106,2.557,2.227,2.31,2.145,2.42,2.145,1.898,1.267,-0.6
10,2.145,3.271,2.639,2.255,2.365,2.173,2.475,2.173,1.925,1.212,-0.765
11,1.925,3.024,2.42,2.008,2.09,1.898,2.227,1.925,1.651,1.184,-0.271
12,1.678,2.557,2.09,1.733,1.788,1.651,1.898,1.678,1.431,1.129,-0.573
13,2.31,3.435,2.804,2.392,2.475,2.282,2.612,2.337,2.035,1.569,-0.271
14,2.447,3.682,2.941,2.557,2.639,2.447,2.776,2.447,2.173,1.624,0.031
15,1.98,2.969,2.392,2.063,2.145,1.98,2.255,2.008,1.761,1.129,-0.71
16,1.788,2.694,2.2,1.871,1.953,1.788,2.063,1.816,1.569,1.02,-1.616
17,1.678,2.667,2.145,1.761,1.843,1.651,1.953,1.706,1.431,0.992,-0.545
18,1.898,2.667,2.255,1.98,2.035,1.898,2.118,1.925,1.733,1.294,-0.024
19,1.404,2.035,1.733,1.459,1.486,1.376,1.569,1.404,1.212,1.129,1.075
20,2.063,3.051,2.529,2.145,2.227,2.035,2.337,2.063,1.816,1.404,-0.408
21,2.008,3.078,2.475,2.118,2.173,2.008,2.31,2.035,1.761,1.157,-0.902
22,1.651,2.612,2.063,1.733,1.816,1.651,1.925,1.678,1.459,0.965,-0.6
23,2.667,3.902,3.161,2.776,2.886,2.667,2.996,2.667,2.392,1.733,0.388
24,1.788,2.804,2.2,1.898,1.98,1.788,2.09,1.816,1.569,0.827,-1.094
25,1.404,2.063,1.706,1.459,1.514,1.404,1.596,1.404,1.239,0.8,-0.627
26,2.392,3.6,2.969,2.502,2.584,2.392,2.722,2.42,2.118,1.569,-0.792
27,1.459,2.09,1.788,1.514,1.541,1.431,1.624,1.459,1.267,1.102,0.471
28,2.337,3.408,2.776,2.447,2.529,2.337,2.639,2.365,2.118,1.349,-1.149
29,1.761,2.667,2.227,1.843,1.898,1.733,2.008,1.788,1.541,1.184,-0.408
30,2.118,3.298,2.667,2.227,2.31,2.09,2.447,2.145,1.816,1.404,0.059
31,1.953,3.051,2.447,2.035,2.118,1.898,2.255,1.953,1.651,1.294,0.333
32,2.749,3.929,3.298,2.859,2.941,2.749,3.078,2.776,2.475,1.843,-0.325
33,1.843,2.776,2.255,1.925,2.008,1.816,2.09,1.843,1.596,1.075,-0.545
34,1.816,2.776,2.255,1.898,1.98,1.816,2.09,1.843,1.596,1.157,-0.463
35,1.761,2.612,2.09,1.843,1.925,1.788,2.008,1.788,1.596,1.047,-0.463
36,1.871,2.886,2.31,1.953,2.035,1.871,2.145,1.871,1.624,0.992,-0.847
37,2.118,3.133,2.639,2.2,2.255,2.063,2.392,2.118,1.816,1.651,0.525
38,1.624,2.667,2.008,1.733,1.843,1.651,1.925,1.651,1.431,0.745,-0.353
39,1.925,2.859,2.365,2.008,2.09,1.925,2.2,1.953,1.706,1.239,-0.792
40,2.337,3.463,2.859,2.447,2.529,2.31,2.639,2.365,2.063,1.733,0.169
41,2.584,3.765,3.106,2.667,2.749,2.557,2.886,2.584,2.282,1.788,-0.106
42,2.227,3.435,2.694,2.337,2.447,2.255,2.557,2.255,1.98,1.157,-0.875
43,2.008,3.133,2.502,2.118,2.2,2.008,2.31,2.035,1.761,1.294,0.773
44,2.475,3.6,2.914,2.584,2.694,2.502,2.804,2.502,2.282,1.569,-0.243
45,1.953,2.859,2.447,2.035,2.09,1.898,2.2,1.953,1.678,1.431,-0.106
46,2.09,3.106,2.502,2.173,2.255,2.09,2.365,2.09,1.871,1.294,0.169
47,1.239,1.898,1.569,1.294,1.322,1.212,1.404,1.239,1.047,0.882,-0.133
48,2.09,3.161,2.502,2.173,2.282,2.09,2.392,2.09,1.871,1.184,-0.82
49,2.31,3.353,2.776,2.42,2.502,2.31,2.612,2.337,2.063,1.514,0.251
50,1.98,2.914,2.447,2.063,2.145,1.953,2.255,2.008,1.733,1.376,0.031
51,2.365,3.49,2.859,2.475,2.557,2.365,2.667,2.392,2.09,1.431,-0.435
52,1.459,2.337,1.843,1.541,1.596,1.459,1.706,1.459,1.239,0.718,-0.71
53,1.788,2.722,2.2,1.898,1.953,1.788,2.063,1.816,1.596,0.992,-0.573
54,2.173,3.133,2.612,2.282,2.365,2.173,2.475,2.2,1.953,1.404,-0.627
55,1.459,2.42,1.871,1.569,1.624,1.459,1.733,1.486,1.267,0.608,-1.176
56,2.365,3.6,2.831,2.475,2.584,2.392,2.694,2.392,2.118,1.404,-0.573
