"Genus name","Obligate anerobic prokaryote"
Abiotrophia,0
Acetanaerobacterium,1
Acetatifactor,1
Acetitomaculum,1
Acetivibrio,0
Acetoanaerobium,1
Acetobacter,0
Acetomicrobium,1
Acholeplasma,Variable
Achromobacter,0
Acidaminobacter,1
Acidaminococcus,1
Acidiphilium,0
Acidithiobacillus,0
Acidothermus,0
Acidovorax,0
Acinetobacter,0
Actinobacillus,0
Actinobaculum,0
Actinocorallia,0
Actinomadura,0
Actinomyces,0
Adlercreutzia,1
Advenella,0
Aeribacillus,0
Aerococcus,0
Aeromicrobium,0
Aeromonas,0
Aggregatibacter,0
Agrobacterium,0
Agrococcus,0
Agromyces,0
Akkermansia,1
Alcaligenes,0
Alicycliphilus,0
Alicyclobacillus,0
Alistipes,1
Alkalibacterium,0
Alkalibaculum,1
Alkalibaculum,1
Alkaligenes,0
Alkaliphilus,1
Alkalitalea,1
Allisonella,1
Allobaculum,1
Alloiococcus,0
Alloprevotella,1
Alloscardovia,0
Alteromonas,0
Amaricoccus,0
Aminivibrio,1
Aminobacterium,1
Amycolatopsis,1
Anabaena,0
Anaerobacillus,1
Anaerobacter,1
Anaerobiospirillum,1
Anaerobranca,1
Anaerococcus,1
Anaerofilum,1
Anaerofustis,1
Anaeroglobus,1
Anaerophaga,1
Anaerorhabdus,1
Anaerosalibacter,1
Anaerosporobacter,1
Anaerostipes,1
Anaerotruncus,1
Anaerovibrio,1
Ancylobacter,0
Aneurinibacillus,0
Anoxybacillus,1
Aquabacterium,0
Aquincola,0
Aquitalea,0
Arcanobacterium,0
Arcobacter,0
Arenimonas,0
Armatimonas,0
Arthrobacter,0
Asaccharobacter,1
Atopobium,0
Atopostipes,0
Aureimonas,0
Averyella,0
Azoarcus,0
Azohydromonas,0
Azonexus,0
Azospira,0
Azospirillum,0
Bacillus,0
Bacteroides,1
Barnesiella,1
Bartonella,0
Bhargavaea,0
Bifidobacterium,VARIABLE
Bilophila,1
Bisgaard,0
Blastocatella,0
Blastochloris,0
Blastococcus,0
Blautia,1
Bombiscardovia,0
Bosea,0
Brachybacterium,0
Brachyspira,1
